,Unnamed: 0.1,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2022_6,Quarter_Operating_Profit2022_6,Quarter_Cashflow2022_6,Quarter_Earn2022_6,Quarter_Continue_Earn2022_6,Quarter_Percent_Operating_Profit2022_6,Quarter_Percent_Cashflow2022_6,Quarter_Percent_Earn2022_6,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Full_EPS,Last_Revenue2021_6,Last_Operating_Profit2021_6,Last_Cashflow2021_6,Last_Earn2021_6,Last_Continue_Earn2021_6,Last_Percent_Operating_Profit2021_6,Last_Percent_Cashflow2021_6,Last_Percent_Earn2021_6,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before,Quarter_Top_Stock_Price,Recent_Market_Gun,Quarter_Per,Last_Top_Stock_Price,Fake_Last_Per,Real_Last_Per,Price_Percent_Change,Price_Percent_Change_Three_Year,Price_Percent_Compare_Old_Biggest_Now,Old_Top_Stock_Price_Date,Price_Percent_Change_Year,Price_Percent_Compare_Last_Bigget_Now,Last_Top_Stock_Price_Date
0,462,46390,KOSDAQ,삼화네트웍스,"영화, 비디오물, 방송프로그램 제작 및 배급업","시스템통합(SI), 시스템유지(SM)",2001-01-11,12월,"공동대표이사 안제현, 신상윤",http://www.shnetworks.co.kr,서울특별시,2022-08-12,43171641.0,30438169323.0,3142739275.0,10172437655.0,6681468381.0,0.0,10.32,33.42,21.95,12120937533.0,4675078845.0,1842873519.0,1508480403.0,0.0,38.57,15.2,12.45,616.0,1189030893.0,-793928201.0,-13347776690.0,-731956014.0,0.0,-66.77,-1122.58,-61.56,3420200944.0,-392207368.0,-5157301406.0,-171575723.0,0.0,-11.47,-150.79,-5.02,-64.0,32924849512.0,6750170051.0,-3454101876.0,6409043373.0,148.0,2254.0,1021.0,16.16,7.93,27.32,14.53,77.09,50.04,2459.914086521552,13.338529966778491,3495,150884885295,5.67,5700,-89.06,38.51,12.43,303.97,63.09,2022-04-15,88.12,63.09,2022-04-15
1,22,297890,KOSDAQ,HB솔루션,특수 목적용 기계 제조업,"디스플레이 제조용 장비(도포기, 조립기, 검사기)",2020-06-22,12월,"이흥근, 이재원(공동 대표이사)",http://www.hb-solution.co.kr,충청남도,2022-08-12,16719190.0,73953498945.0,16492052951.0,7493806194.0,17810244889.0,0.0,22.3,10.13,24.08,28145432242.0,3012535770.0,-36603662242.0,3812401351.0,0.0,10.7,-130.05,13.55,4260.0,5385766786.0,-139440082.0,-16309287401.0,190274607.0,0.0,-2.59,-302.82,3.53,6089401246.0,-1872162881.0,-9851689970.0,-1861269697.0,0.0,-30.74,-161.78,-30.57,44.0,46773127251.0,667762433.0,-23280140107.0,6084585788.0,363.0,13769.0,6212.0,20.45,3.83,30.94,5.86,24.89,41.44,1273.1285048813843,-27.40760565068932,14200,237412498000,3.33,28050,637.5,77.27,8.56,93.79,108.8,2021-07-29,104.0,97.54,2021-08-12
2,1403,205470,KOSDAQ,휴마시스,의료용품 및 기타 의약 관련제품 제조업,체외진단키트,2014-12-01,12월,차정학,http://www.humasis.com,경기도,2022-08-16,34219182.0,114839300042.0,69832841641.0,189306792164.0,62799605683.0,0.0,60.81,164.84,54.68,326378338982.0,203160627162.0,132476467438.0,159802706368.0,0.0,62.25,40.59,48.96,7340.0,26238829182.0,12249942346.0,19612520511.0,9498110197.0,0.0,46.69,74.75,36.2,20278182554.0,11917455189.0,11528690080.0,10063390894.0,0.0,58.77,56.85,49.63,1108.0,321829140756.0,193592723916.0,205023365614.0,151204591708.0,4418.0,21792.0,5903.0,22.72,44.38,33.68,74.85,14.120000000000005,3.479999999999997,337.6693001255577,3958.0331270045576,18900,646742539800,2.57,34500,31.14,7.81,5.6,2223.23,82.54,2022-02-03,154.61,82.54,2022-02-03
3,1237,277880,KOSDAQ,티에스아이,특수 목적용 기계 제조업,"2차전지 장비(믹싱시스템, 믹싱제작품, 믹싱 공사, 코터건조시스템)",2020-07-22,12월,표인식,http://taesungind.co.kr/,경기도,2022-08-12,18641577.0,40837290217.0,88811471.0,18750830518.0,4377594495.0,0.0,0.22,45.92,10.72,46078510354.0,3826139910.0,12969793478.0,1349428270.0,0.0,8.3,28.15,2.93,936.0,9751679870.0,-1216177839.0,-5197962608.0,-274371375.0,0.0,-12.47,-53.3,-2.81,8488410431.0,-647785479.0,-4052529119.0,-233392960.0,0.0,-7.63,-47.74,-2.75,-56.0,67319918067.0,-128616504.0,-36458108439.0,1167242328.0,62.0,4823.0,2185.0,6.47,0.94,19.4,2.87,12.69,15.93,318.77185019815465,-66.8020431941799,10400,193872400800,11.11,17850,-318.75,287.9,2.4,183.33,71.63,2021-10-15,85.59,71.63,2021-10-15
4,618,67390,KOSDAQ,아스트,"항공기,우주선 및 부품 제조업",항공기용 부품 제조 및 동체 조립,2014-12-24,12월,김희원,http://www.astk.co.kr,경상남도,2022-08-12,25701528.0,43666681215.0,1528630775.0,4231989352.0,-3785132517.0,0.0,3.5,9.69,-8.67,36009985286.0,1507284714.0,-6242487601.0,-1625628225.0,0.0,4.19,-17.34,-4.51,-588.0,10823762186.0,-7777647605.0,-14113681528.0,-8879953142.0,0.0,-71.86,-130.4,-82.04,14927310292.0,-5665763579.0,-11732135350.0,-252988069.0,0.0,-37.96,-78.6,-1.69,-1380.0,81161917298.0,-13753753148.0,-4866958442.0,-27444686363.0,-1067.0,10607.0,5659.0,-1.51,-5.65,-5.54,-18.87,75.36,42.15,303.4334870317152,327.4502911879524,5510,141615419280,-9.37,8050,-5.83,-7.54,8.34,124.12,81.13,2019-10-15,44.03,46.1,2021-08-12
5,1357,37230,KOSDAQ,한국팩키지,"골판지, 종이 상자 및 종이용기 제조업","카톤팩, 골판지 상자",1999-12-21,12월,"이명신, 이우진",http://www.hkpak.co.kr,경기도,2022-08-16,29798573.0,53935617098.0,462960337.0,10700061724.0,-1301646495.0,0.0,0.86,19.84,-2.41,53736331956.0,986687380.0,-6327018763.0,83675342.0,0.0,1.84,-11.77,0.16,-172.0,14895274088.0,34176323.0,1279430192.0,39057999.0,0.0,0.23,8.59,0.26,13173108920.0,117971746.0,4888590899.0,307614110.0,0.0,0.9,37.11,2.34,4.0,56223518386.0,-2104043009.0,2501283510.0,-504442585.0,-16.0,5109.0,2608.0,-1.38,-0.28,-3.37,-0.65,0.63,0.94,262.0988561831962,201.4536903496567,3520,104890976960,-20.47,5610,1402.5,-350.62,3.29,276.15,132.95,2020-12-21,59.92,59.38,2021-12-15
6,543,253840,KOSDAQ,수젠텍,의료용품 및 기타 의약 관련제품 제조업,체외진단 기기 및 시약,2019-05-28,12월,손미진,http://www.sugentech.com,대전광역시,2022-08-12,16275126.0,22824685320.0,9137757645.0,35162139758.0,13779990298.0,0.0,40.03,154.05,60.37,67939612533.0,44711324011.0,1147625049.0,34937416139.0,0.0,65.81,1.69,51.42,3384.0,6328817850.0,-817568984.0,8559728405.0,-563048473.0,0.0,-12.92,135.25,-8.9,11035322955.0,5490267904.0,4378623342.0,5654990472.0,0.0,49.75,39.68,51.24,-136.0,77201041452.0,34813542443.0,38955129427.0,36151559448.0,2221.0,17607.0,6190.0,13.34,23.24,19.22,35.88,52.95,16.060000000000002,260.6468990097416,58.48256352239491,14200,231106789200,4.2,22850,-168.01,10.29,11.99,743.34,290.85,2020-08-06,92.1,60.92,2022-02-03
7,907,101730,KOSDAQ,위메이드맥스,소프트웨어 개발 및 공급업,실크로드 온라인,2009-06-03,12월,"장현국, 이길형 각자 대표이사",http://www.wemademax.com,경기도,2022-08-16,33293572.0,23955484533.0,8687147178.0,21070711073.0,9468103895.0,0.0,36.26,87.96,39.52,23366291019.0,9394264829.0,-6029795586.0,9803662960.0,0.0,40.2,-25.81,41.96,1136.0,8312688506.0,-108175615.0,1703086201.0,-633180264.0,0.0,-1.3,20.49,-7.62,10155910452.0,436231647.0,-438468406.0,-92203812.0,0.0,4.3,-4.32,-0.91,-76.0,35521769802.0,291599387.0,2260920167.0,-1280928887.0,-38.0,4226.0,820.0,16.32,-2.4,26.88,-4.69,37.56,35.900000000000006,188.1797449249929,219.5038716819473,23200,772410870400,20.42,58000,-763.16,-1526.32,5.88,1645.94,150.0,2021-12-03,337.34,150.0,2021-12-03
8,86,36620,KOSDAQ,감성코퍼레이션,기타 전문 도매업,"고지유통, ERP시스템 운영",2000-01-11,12월,김호선,http://www.virtualtek.co.kr,서울특별시,2022-08-16,79619613.0,25575644894.0,3386873485.0,1170197794.0,2387149659.0,2387149659.0,13.24,4.58,9.33,15904180690.0,686054020.0,-2211172179.0,2322970270.0,2322970270.0,4.31,-13.9,14.61,116.0,9403957702.0,-465583956.0,-3362802064.0,-111296355.0,-111296355.0,-4.95,-35.76,-1.18,6073100714.0,-1156945975.0,-2845427975.0,-1190355585.0,-1190355585.0,-19.05,-46.85,-19.6,-4.0,48936589545.0,1160109341.0,-1148519446.0,281383557.0,3.0,851.0,365.0,8.1,0.63,13.63,0.97,18.19,23.36,171.96682188990135,161.17807067562055,1750,139334322750,15.09,2665,-666.25,888.33,4.68,262.59,52.29,2021-10-20,66.56,52.29,2021-10-20
9,269,180400,KOSDAQ,디엑스앤브이엑스,기타 과학기술 서비스업,BAC DNA CHIP,2015-11-20,12월,박상태(단독 대표이사),http://www.cancerrop.com,서울특별시,2022-08-16,28690970.0,7128279705.0,144489980.0,-159157954.0,411063005.0,-534938642.0,2.03,-2.23,5.77,5924966551.0,627167579.0,1171712782.0,-202760446.0,0.0,10.59,19.78,-3.42,56.0,2695643003.0,-269918360.0,-665794493.0,-517737421.0,-305043645.0,-10.01,-24.7,-19.21,1931973567.0,-855325206.0,83132517.0,17963914.0,0.0,-44.27,4.3,0.93,-72.0,7469834503.0,-4785958794.0,-2759667183.0,-7884203324.0,-274.0,2183.0,1177.0,1.94,-19.11,2.56,-23.34,12.04,54.86,164.4370822496483,498.5057546223871,7740,222068107800,138.21,7740,-107.5,-28.25,0.0,0.0,0.0,2022-08-16,0.0,0.0,2022-08-16
