,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2021_3,Quarter_Operating_Profit2021_3,Quarter_Cashflow2021_3,Quarter_Earn2021_3,Quarter_Continue_Earn2021_3,Quarter_Percent_Operating_Profit2021_3,Quarter_Percent_Cashflow2021_3,Quarter_Percent_Earn2021_3,Quarter_Revenue2020_12,Quarter_Operating_Profit2020_12,Quarter_Cashflow2020_12,Quarter_Earn2020_12,Quarter_Continue_Earn2020_12,Quarter_Percent_Operating_Profit2020_12,Quarter_Percent_Cashflow2020_12,Quarter_Percent_Earn2020_12,Quarter_Full_EPS,Last_Revenue2020_3,Last_Operating_Profit2020_3,Last_Cashflow2020_3,Last_Earn2020_3,Last_Continue_Earn2020_3,Last_Percent_Operating_Profit2020_3,Last_Percent_Cashflow2020_3,Last_Percent_Earn2020_3,Last_Revenue2019_12,Last_Operating_Profit2019_12,Last_Cashflow2019_12,Last_Earn2019_12,Last_Continue_Earn2019_12,Last_Percent_Operating_Profit2019_12,Last_Percent_Cashflow2019_12,Last_Percent_Earn2019_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before,Quarter_Top_Stock_Price,Recent_Market_Gun,Quarter_Per,Last_Top_Stock_Price,Fake_Last_Per,Real_Last_Per,Price_Percent_Change,Price_Percent_Change_Three_Year,Price_Percent_Compare_Old_Biggest_Now,Old_Top_Stock_Price_Date,Price_Percent_Change_Year,Price_Percent_Compare_Last_Bigget_Now,Last_Top_Stock_Price_Date
0,194370,KOSPI,제이에스코퍼레이션,"가죽, 가방 및 유사제품 제조업",핸드백 및 지갑,2016-02-04,12월,홍재성,http://www.jskor.com,서울특별시,2022-08-12,13342318.0,223393493768.0,10556280265.0,14664397171.0,4849179013.0,0.0,4.73,6.56,2.17,219581937686.0,4639405997.0,-11419368415.0,-3222805873.0,0.0,2.11,-5.2,-1.47,1452.0,53417717251.0,1422285157.0,-1188998193.0,1896049425.0,0.0,2.66,-2.23,3.55,57090001790.0,1254851448.0,10320802036.0,226428918.0,0.0,2.2,18.08,0.4,568.0,402818974793.0,7945475240.0,-5647876244.0,2362671985.0,177.0,11241.0,11294.0,3.94,0.47,12.92,1.57,2.0700000000000003,-0.0900000000000003,318.2011236427704,,17800,237493260400,12.26,27900,49.12,157.63,6.06,282.19,56.74,2022-03-24,57.63,56.74,2022-03-24
1,12630,KOSPI,HDC,기타 금융업,"토목공사,건축공사,아파트분양사업,재개발/재건축사업",1996-10-16,12월,"정몽규, 유병규",http://www.i-park.com,서울특별시,2022-08-16,59747980.0,1023412826164.0,132386867930.0,213154573973.0,42389234244.0,0.0,12.94,20.83,4.14,1255191991795.0,183257039768.0,-585491828570.0,44645820475.0,191342520242.0,14.6,-46.65,3.56,2836.0,356998291127.0,24674233685.0,39444956088.0,33880780043.0,0.0,6.91,11.05,9.49,409807529398.0,25877780519.0,66161583170.0,46640838179.0,191342520242.0,6.31,16.14,11.38,2268.0,3951863002088.0,544670794788.0,-474239487222.0,103601632453.0,1733.0,75563.0,72726.0,1.68,1.08,3.75,2.38,6.029999999999999,8.29,186.67163165773445,,7110,424808137800,2.51,11750,5.18,6.78,3.17,105.53,114.49,2021-05-11,69.38,65.26,2021-09-02
2,3160,KOSPI,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",1996-07-31,12월,박원호 조윤형,http://www.di.co.kr,서울특별시,2022-08-16,31498232.0,51846812448.0,3955060152.0,-7898442316.0,4569439574.0,0.0,7.63,-15.23,8.81,39731947384.0,-1535415097.0,2016578192.0,-3025055653.0,0.0,-3.86,5.08,-7.61,580.0,18429397027.0,-4849480901.0,-6823862354.0,-1908160790.0,0.0,-26.31,-37.03,-10.35,28370056263.0,-3167872541.0,311974104.0,1403529509.0,0.0,-11.17,1.1,4.95,-240.0,162257537446.0,5521898717.0,10844584607.0,5450514275.0,173.0,4397.0,4392.0,7.15,2.38,13.19,3.94,33.94,7.31,181.32668894181288,,6330,199383808560,10.91,10000,-41.67,57.8,11.26,225.51,64.3,2021-08-11,48.37,57.98,2022-01-03
3,8700,KOSPI,아남전자,영상 및 음향기기 제조업,"칼라TV,오디오,비디오 제조,도매",1984-08-11,12월,김태수,http://www.aname.co.kr,서울특별시,2022-08-16,77147840.0,76948291.0,2852217.0,-1588673.0,2239425.0,2239425.0,3.71,-2.06,2.91,80403812.0,883031.0,-6750021.0,830854.0,830854.0,1.1,-8.4,1.03,0.0,29474199.0,-1097086.0,1989088.0,-1712873.0,-1712873.0,-3.72,6.75,-5.81,49303219.0,152933.0,7070700.0,-310259.0,3822845.0,0.31,14.34,-0.63,0.0,224352656.0,5891295.0,-6480467.0,4509728.0,0.0,0.0,0.0,0.0,2.55,0.0,8.29,7.43,0.79,161.06999888275166,,2780,214470995200,0.0,2850,0.0,0.0,3.56,99.16,28.6,2021-02-03,27.8,2.52,2022-08-11
4,12170,KOSPI,아센디오,"영화, 비디오물, 방송프로그램 제작 및 배급업",석탄(점결탄) 판매,1989-12-20,12월,"신동철, 강재현",http://ascendio.co.kr,서울특별시,2022-08-16,80507698.0,7716336407.0,334370016.0,-1237063715.0,442981753.0,0.0,4.33,-16.03,5.74,10148084634.0,1165457858.0,-182546538.0,5226139154.0,-4930504389.0,11.48,-1.8,51.5,20.0,3181446564.0,-2197162239.0,-1645658218.0,-3161823088.0,0.0,-69.06,-51.73,-99.38,-485237360.0,-2954226557.0,-6001372268.0,-50680964246.0,-4930504389.0,608.82,1236.79,10444.57,-156.0,21613135030.0,-4062292410.0,-6476194645.0,-5660384045.0,-70.0,311.0,247.0,8.86,-20.68,6.43,-28.39,73.39,-597.34,142.54175739787783,,1270,102244776460,63.5,3310,-21.22,-47.29,11.89,199.1,188.5,2021-05-03,189.08,160.63,2021-10-29
5,5810,KOSPI,풍산홀딩스,기타 금융업,"동판제,대,관,봉,선,소전,동파이프 제조,도매,무역",1988-07-28,12월,"류진, 박우동",http://www.poongsan.co.kr,인천광역시,2022-08-16,10410633.0,118860815081.0,12832644860.0,-1788205042.0,12197320875.0,0.0,10.8,-1.5,10.26,82126507815.0,2211632332.0,1548891124.0,4276799905.0,0.0,2.69,1.89,5.21,4684.0,50190554101.0,-991151076.0,-4975477578.0,-1081469539.0,0.0,-1.97,-9.91,-2.15,61554361644.0,1351988884.0,-531765105.0,7728058018.0,0.0,2.2,-0.86,12.55,-412.0,265940729741.0,9409005842.0,-9505578665.0,13088888902.0,1257.0,71106.0,69916.0,4.86,1.34,6.59,1.8,12.77,0.4899999999999997,136.8190931740118,,27900,290456660700,5.96,31650,-76.82,25.18,1.8,69.18,13.71,2021-01-26,16.15,13.44,2021-09-14
6,192650,KOSPI,드림텍,전자부품 제조업,"모바일 PBA, 지문인식 모듈, 전장 LED 모듈 등",2019-03-14,12월,"김형민, 박찬홍(각자대표)",http://www.idreamtech.co.kr,경기도,2022-08-16,67353731.0,349674446901.0,25602828563.0,55646207704.0,26282403633.0,0.0,7.32,15.91,7.52,308304363885.0,10596897692.0,-8422395218.0,7931797286.0,0.0,3.44,-2.73,2.57,1560.0,171609940857.0,1748818836.0,3563089573.0,604578778.0,0.0,1.02,2.08,0.35,141591185897.0,7105091966.0,25484243478.0,7385600814.0,0.0,5.02,18.0,5.22,32.0,1045847643326.0,19695003660.0,23951300270.0,10681010957.0,158.0,5289.0,4487.0,18.06,1.77,29.49,3.53,6.300000000000001,-1.5799999999999996,103.76118373723962,,9490,639186907190,6.08,12450,389.06,78.8,2.43,208.56,109.65,2020-08-03,30.09,31.19,2021-09-03
7,20120,KOSPI,키다리스튜디오,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","만화, 소설 등 콘텐츠 제작 및 유통, 판매, 컴퓨터 프로그래밍, 시스템 통합 및 관리업",1996-07-03,12월,김영훈,http://www.kidaristudio.com,서울특별시,2022-08-16,36582370.0,19853401148.0,2267305162.0,567862242.0,1879427840.0,1881365527.0,11.42,2.86,9.47,10550757880.0,588038381.0,1862438521.0,-549813775.0,72730259.0,5.57,17.65,-5.21,204.0,11336185332.0,1080675148.0,171383081.0,823389660.0,752334888.0,9.53,1.51,7.26,8855435567.0,218968868.0,1026801510.0,2560313447.0,72730259.0,2.47,11.6,28.91,88.0,45506775565.0,4586128252.0,5216050943.0,53154794.0,1.0,5378.0,743.0,3.1,0.11,3.79,0.2,1.8900000000000008,3.1,75.13299726987914,,10250,374969292500,50.25,18800,213.64,18800.0,1.59,324.38,83.41,2021-11-17,119.45,83.41,2021-11-17
8,84010,KOSPI,대한제강,1차 철강 제조업,"제강,철재,철근,환봉,마환봉,빌레트 제조",2005-10-31,12월,"이경백, 한성민 각자대표",http://www.idaehan.com,부산광역시,2022-08-16,24647921.0,358454045415.0,13223970113.0,22584106643.0,20663037919.0,0.0,3.69,6.3,5.76,375922283736.0,27387513207.0,108156996408.0,-20495355450.0,0.0,7.29,28.77,-5.45,3352.0,205266926562.0,9360486172.0,23403957897.0,7918522621.0,0.0,4.56,11.4,3.86,229684163359.0,8720588766.0,12385894624.0,4929035186.0,0.0,3.8,5.39,2.15,1284.0,1096134815196.0,81806922399.0,198130756038.0,48734080729.0,1977.0,22113.0,22248.0,7.93,5.16,15.16,8.89,-0.8699999999999997,3.49,74.62825181763048,,15550,383275171550,4.64,25850,20.13,13.08,6.43,327.27,66.24,2022-03-03,65.18,66.24,2022-03-03
9,317400,KOSPI,자이에스앤디,부동산 임대 및 공급업,"부동산 관리, 정보통신 공사, 아파트 AS 및 옵션 제품 공급, 건축물 시공 및 분양",2019-11-06,12월,엄관석,http://www.xisnd.com/,서울특별시,2022-08-16,49032994.0,108787306747.0,10188454799.0,25431764724.0,6972041313.0,0.0,9.37,23.38,6.41,121470547296.0,10430719862.0,37321427553.0,7227137186.0,0.0,8.59,30.72,5.95,568.0,66982073832.0,2820322383.0,-3438176159.0,2415914702.0,0.0,4.21,-5.13,3.61,80630644549.0,5522019389.0,8954490614.0,3673726785.0,0.0,6.85,11.11,4.56,196.0,356212405200.0,27342268483.0,12971549536.0,20910063501.0,426.0,3505.0,3314.0,5.81,5.06,16.2,12.86,5.159999999999999,1.7400000000000002,62.4125688013977,,8190,401580220860,14.42,10350,52.81,24.3,3.98,139.43,60.35,2021-01-11,28.94,26.37,2021-12-10
