,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2021_6,Quarter_Operating_Profit2021_6,Quarter_Cashflow2021_6,Quarter_Earn2021_6,Quarter_Continue_Earn2021_6,Quarter_Percent_Operating_Profit2021_6,Quarter_Percent_Cashflow2021_6,Quarter_Percent_Earn2021_6,Quarter_Revenue2021_3,Quarter_Operating_Profit2021_3,Quarter_Cashflow2021_3,Quarter_Earn2021_3,Quarter_Continue_Earn2021_3,Quarter_Percent_Operating_Profit2021_3,Quarter_Percent_Cashflow2021_3,Quarter_Percent_Earn2021_3,Quarter_Full_EPS,Last_Revenue2020_6,Last_Operating_Profit2020_6,Last_Cashflow2020_6,Last_Earn2020_6,Last_Continue_Earn2020_6,Last_Percent_Operating_Profit2020_6,Last_Percent_Cashflow2020_6,Last_Percent_Earn2020_6,Last_Revenue2020_3,Last_Operating_Profit2020_3,Last_Cashflow2020_3,Last_Earn2020_3,Last_Continue_Earn2020_3,Last_Percent_Operating_Profit2020_3,Last_Percent_Cashflow2020_3,Last_Percent_Earn2020_3,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before,Quarter_Top_Stock_Price,Recent_Market_Gun,Quarter_Per,Last_Top_Stock_Price,Fake_Last_Per,Real_Last_Per,Price_Percent_Change,Price_Percent_Change_Three_Year,Price_Percent_Compare_Old_Biggest_Now,Old_Top_Stock_Price_Date,Price_Percent_Change_Year,Price_Percent_Compare_Last_Bigget_Now,Last_Top_Stock_Price_Date
133,14910,KOSPI,성문전자,전자부품 제조업,"콘덴서용 증착필름,압력분무식 플러스자동도포기 제조,판매",1990-03-24,12월,신준섭,http://www.smec-korea.co.kr,경기도,2022-08-16,19480540.0,15450624962.0,1425272183.0,1005311297.0,1257346025.0,0.0,9.22,6.51,8.14,9163964848.0,369798749.0,226537297.0,436121513.0,0.0,4.04,2.47,4.76,256.0,10001747382.0,214348803.0,-811593590.0,65091947.0,0.0,2.14,-8.11,0.65,8721777983.0,-106926942.0,235245584.0,5901626.0,0.0,-1.23,2.7,0.07,12.0,37882645791.0,-634764313.0,502921920.0,-972778928.0,-49.0,2865.0,1361.0,5.91,-2.41,8.93,-3.67,7.08,5.27,54.47925619283552,-77.52527538899072,2000,38961080000,7.81,2875,239.58,-58.67,2.75,73.19,43.75,2021-10-15,43.25,43.75,2021-10-15
165,1770,KOSPI,SHD,1차 철강 제조업,"석도강판,표면처리강판 제조,임가공,판매",1988-11-23,12월,신종호,http://www.shinhwatp.com,경기도,2022-08-12,1214746.0,24549548404.0,2108408371.0,1864144215.0,1983604923.0,0.0,8.59,7.59,8.08,23166145869.0,144370135.0,5135446558.0,290722023.0,0.0,0.62,22.17,1.25,6528.0,18196941789.0,-384547943.0,261848599.0,-292892962.0,0.0,-2.11,1.44,-1.61,17793477352.0,-42326816.0,-2200796859.0,88390874.0,0.0,-0.24,-12.37,0.5,-964.0,77326954913.0,187172486.0,2635738274.0,489045220.0,402.0,59797.0,28486.0,5.52,0.76,10.92,1.41,10.7,0.86,34.91029805261087,,32300,39236295800,4.95,43000,-44.61,106.97,3.94,125.52,34.06,2021-04-12,52.54,33.13,2022-06-14
29,7120,KOSPI,미래아이앤지,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","CCTV, DVR제조, 금융솔루션, 방산제품",1999-11-26,12월,김학수,http://www.miraeing.co.kr,서울특별시,2022-08-16,129468965.0,2309118117.0,846041384.0,2306595731.0,568820282.0,568820282.0,36.64,99.89,24.63,1938172189.0,246608072.0,730914626.0,1650399246.0,0.0,12.72,37.71,85.15,16.0,1642536126.0,171625010.0,781785191.0,16387584248.0,16451958184.0,10.45,47.6,997.7,1029958371.0,-171783587.0,-1276621100.0,2573917143.0,0.0,-16.68,-123.95,249.9,504.0,5770766444.0,687037164.0,2983007328.0,19674056457.0,151.0,1409.0,691.0,1.09,21.31,1.14,21.99,26.19,29.4,40.58248585516956,,350,45314137750,21.88,593,1.18,3.93,3.52,129.84,106.86,2021-06-25,69.43,69.43,2021-08-18
150,69640,KOSPI,한세엠케이,"섬유, 의복, 신발 및 가죽제품 소매업","케주얼웨어(BUCKAROO, TBJ 등)",2011-06-21,12월,"김동녕, 김지원(각자 대표이사)",http://www.mktrend.co.kr,서울특별시,2022-08-16,12910322.0,52798721006.0,214677500.0,8125091687.0,463252340.0,0.0,0.41,15.39,0.88,50259197959.0,-734499987.0,5672048484.0,-658256071.0,0.0,-1.46,11.29,-1.31,140.0,61475336681.0,-3106956845.0,11603104215.0,-3387252734.0,0.0,-5.05,18.87,-5.51,46764709000.0,-4767819692.0,11867545010.0,-4488262230.0,0.0,-10.2,25.38,-9.6,-1048.0,220214372262.0,-18861876976.0,6373666236.0,-23006381384.0,-1782.0,12005.0,6029.0,0.59,-15.37,1.17,-29.56,5.46,8.739999999999998,-14.113978293479857,,3530,45573436660,25.21,7730,-7.38,-4.34,3.69,380.27,296.6,2021-07-14,111.49,118.98,2021-09-02
121,25530,KOSPI,SJM홀딩스,자동차 부품 및 내장품 판매업,지주회사및경영자문,1997-02-12,12월,"김용호, 김휘중(각자대표이사)",http://www.sjmholdings.co.kr,경기도,2022-08-16,14936126.0,37653307550.0,2683952925.0,-2931355353.0,1245738620.0,0.0,7.13,-7.79,3.31,39868930250.0,4426395770.0,-897752297.0,3112243636.0,0.0,11.1,-2.25,7.81,332.0,25030279615.0,-2843377050.0,9382275396.0,-649546812.0,0.0,-11.36,37.48,-2.6,39010549438.0,2735561542.0,677228071.0,2721065364.0,0.0,7.01,1.74,6.98,-172.0,141553459488.0,6417568301.0,22076635654.0,2997628184.0,200.0,34426.0,16597.0,0.79,0.97,0.96,1.21,18.49,4.09,50.431030452553735,,3145,46974116270,9.47,4185,-24.33,20.93,0.8,111.41,76.79,2021-07-02,33.2,33.07,2022-03-31
28,25560,KOSPI,미래산업,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","PCB마운터,반도체검사장비(반도체테스트핸들러),LCD 검사장비,리드프레임매가진 제조,도매,무역",1996-11-22,12월,선종업,http://www.mirae.co.kr,충청남도,2022-08-16,4452371.0,16417793896.0,3791344462.0,2631546291.0,6445264103.0,0.0,23.09,16.03,39.26,9990720136.0,1383617925.0,-1496272807.0,1748557152.0,0.0,13.85,-14.98,17.5,5788.0,8644312300.0,1262483323.0,4314329631.0,1043479360.0,0.0,14.6,49.91,12.07,4907814442.0,-671570200.0,1964072558.0,80988317.0,0.0,-13.68,40.02,1.65,936.0,41560381733.0,1265380568.0,-683396325.0,-6722372567.0,-1509.0,30949.0,14391.0,11.4,-7.02,18.7,-10.49,8.49,27.53,89.92596896343044,,11100,49421318100,1.92,24350,26.01,-16.14,1.92,282.93,353.65,2019-08-21,117.66,119.37,2022-04-04
234,4100,KOSPI,태양금속,자동차 신품 부품 제조업,"자동차용 강력볼트,너트,전기전자제품용 나사,자전거부품,전해동박,도금도장설비 제조",1976-05-25,12월,한우삼. 한하워드성(각자 대표이사),http://www.taeyangmetal.com,경기도,2022-08-16,36694802.0,113016207074.0,4655662445.0,9860111831.0,-890744320.0,0.0,4.12,8.72,-0.79,116027498020.0,1620018790.0,1429638965.0,4194605309.0,0.0,1.4,1.23,3.62,-96.0,70893818585.0,-1804458555.0,128646425.0,1670711365.0,0.0,-2.55,0.18,2.36,106375908334.0,-329721483.0,-6231240720.0,-1296536033.0,0.0,-0.31,-5.86,-1.22,180.0,404432837931.0,-3372777178.0,14988783135.0,-9467008127.0,-257.0,5682.0,2709.0,-0.39,-2.14,-1.69,-9.52,6.67,1.71,59.416165372015136,,1425,52290092850,-14.84,2420,13.44,-9.42,4.62,129.38,69.82,2021-09-10,83.61,69.82,2021-09-10
51,10770,KOSPI,평화홀딩스,자동차 신품 부품 제조업,지주회사,1986-03-31,12월,"김종석, 황순용",http://www.phhc.co.kr,대구광역시,2022-08-16,14624791.0,159507038936.0,5331225904.0,8281240902.0,7142373290.0,0.0,3.34,5.19,4.48,157897926671.0,4688339855.0,16045743687.0,144472967.0,0.0,2.97,10.16,0.09,1952.0,87573799331.0,-7223011063.0,9464239321.0,2889795859.0,0.0,-8.25,10.81,3.3,130656185069.0,-1464482180.0,10707158966.0,-9636449816.0,0.0,-1.12,8.19,-7.38,788.0,521111233466.0,-3058288427.0,24508152350.0,-3101705834.0,-212.0,16388.0,8151.0,2.54,-0.59,11.91,-2.6,11.59,4.09,82.140137980215,,3690,53965478790,1.89,5850,7.42,-27.59,3.12,82.24,58.54,2021-08-31,61.92,58.54,2021-08-31
235,19180,KOSPI,티에이치엔,기타 전기장비 제조업,"자동차부품(전기배선장치류) 제조,도매",1996-07-31,12월,"이광연, 채승훈",http://www.th-net.co.kr,대구광역시,2022-08-16,18003633.0,104154381738.0,4604052818.0,-2886508315.0,18126730737.0,0.0,4.42,-2.77,17.4,98271954820.0,4592277390.0,-10158522925.0,-593698310.0,0.0,4.67,-10.34,-0.6,4024.0,54521326642.0,132768084.0,-23354491109.0,-5250736524.0,0.0,0.24,-42.84,-9.63,84103940732.0,1980835409.0,-10654735933.0,-15089018654.0,0.0,2.36,-12.67,-17.94,-1164.0,346399447525.0,8853766026.0,8084523409.0,-16214504273.0,-900.0,8745.0,3709.0,11.73,-5.8,46.01,-24.28,4.18,2.31,91.0342028577229,,3275,58961898075,0.81,5500,-4.73,-6.11,1.77,120.44,67.94,2021-10-20,70.12,67.94,2021-10-20
111,14130,KOSPI,한익스프레스,도로 화물 운송업,"특수화물 운송(유류,화학류,벌크제품 등),냉동차,탱크로리운송,복합운송 주선,임대,택배/특장차,중기 제조,판매",1989-07-25,12월,"유인철, 이석환 (각자대표)",http://www.hanex.co.kr,경기도,2022-08-16,11998898.0,194539190337.0,6325382105.0,10458966180.0,5884259954.0,0.0,3.25,5.38,3.02,188430966788.0,3363701121.0,425292887.0,2165155630.0,0.0,1.79,0.23,1.15,1960.0,149629008270.0,4514405217.0,10296508518.0,2637002857.0,0.0,3.02,6.88,1.76,153828026728.0,2144387885.0,-5154160953.0,1355256026.0,0.0,1.39,-3.35,0.88,876.0,615258839122.0,10659805644.0,20120682584.0,-1905833208.0,-158.0,12309.0,5716.0,3.67,-0.63,15.92,-2.78,0.2299999999999999,0.4000000000000001,30.01435522847364,,5310,63714148380,2.71,6950,7.93,-43.99,2.57,89.66,69.3,2020-12-16,31.38,30.89,2021-09-07
