,Unnamed: 0,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2021_3,Quarter_Operating_Profit2021_3,Quarter_Cashflow2021_3,Quarter_Earn2021_3,Quarter_Continue_Earn2021_3,Quarter_Percent_Operating_Profit2021_3,Quarter_Percent_Cashflow2021_3,Quarter_Percent_Earn2021_3,Quarter_Revenue2020_12,Quarter_Operating_Profit2020_12,Quarter_Cashflow2020_12,Quarter_Earn2020_12,Quarter_Continue_Earn2020_12,Quarter_Percent_Operating_Profit2020_12,Quarter_Percent_Cashflow2020_12,Quarter_Percent_Earn2020_12,Quarter_Full_EPS,Last_Revenue2020_3,Last_Operating_Profit2020_3,Last_Cashflow2020_3,Last_Earn2020_3,Last_Continue_Earn2020_3,Last_Percent_Operating_Profit2020_3,Last_Percent_Cashflow2020_3,Last_Percent_Earn2020_3,Last_Revenue2019_12,Last_Operating_Profit2019_12,Last_Cashflow2019_12,Last_Earn2019_12,Last_Continue_Earn2019_12,Last_Percent_Operating_Profit2019_12,Last_Percent_Cashflow2019_12,Last_Percent_Earn2019_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before
452,452,34810,KOSDAQ,해성산업,기타 금융업,시설관리 용역 및 부동산 임대,1999-04-16,12월,정한수,http://www.haesungind.co.kr,서울특별시,2021-03-18,243207081375.0,6795047992.0,47223375493.0,-5368105641.0,0.0,2.79,19.42,-2.21,225960646267.0,14438681092.0,42378893356.0,348585438621.0,0.0,6.39,18.75,154.27,26044.0,5325236605.0,1983562532.0,6072933219.0,1177579291.0,0.0,37.25,114.04,22.11,5128304881.0,1855161090.0,4198001156.0,333452367.0,0.0,36.17,81.86,6.5,114.0,20260094584.0,5217231717.0,5811443919.0,2324752114.0,88.0,25865.0,5293.0,53.11,1.09,100.69,1.67,-34.46,-29.78,4467.066205971894,
64,64,241820,KOSDAQ,피씨엘,의료용품 및 기타 의약 관련제품 제조업,"다중 체외진단 제품, 플랫폼서비스",2017-02-23,12월,김소연,http://www.pclchip.com,서울특별시,2021-05-14,11821678263.0,2068929961.0,-25967363022.0,-16449401090.0,0.0,17.5,-219.66,-139.15,7887754768.0,1010750910.0,-2286705821.0,-900986444.0,0.0,12.81,-28.99,-11.42,-3408.0,373871600.0,-1635148096.0,-5216275794.0,-3175468034.0,0.0,-437.36,-1395.21,-849.35,4735000.0,-1528700937.0,-5120499351.0,-3140450345.0,0.0,-32285.13,-108141.49,-66324.19,-1240.0,53682669587.0,25675912379.0,-2286705821.0,19508749394.0,1916.0,3310.0,3610.0,-30.59,44.79,-102.93,53.09,454.86,32297.94,3061.962091530889,
42,42,950130,KOSDAQ,엑세스바이오,의료용품 및 기타 의약 관련제품 제조업,"말라리아 진단키트(RDT), HIV 진단키트(RDT)",2013-05-30,12월,최영호,http://www.accessbio.net,미국,2021-05-14,202608120.0,163275564.0,36533241.0,109545655.0,0.0,80.59,18.03,54.07,77631058.0,56141627.0,33751920.0,39834968.0,0.0,72.32,43.48,51.31,8.0,8456044.0,-713990.0,-1869087.0,-727209.0,0.0,-8.44,-22.1,-8.6,8282713.0,-1196849.0,-364691.0,-1260206.0,0.0,-14.45,-4.4,-15.21,0.0,103213745.0,58222516.0,33751920.0,40907164.0,1.0,6.0,2.0,77.19,26.15,126.77,51.35,89.03,86.77,2296.0154417361123,
24,24,253840,KOSDAQ,수젠텍,의료용품 및 기타 의약 관련제품 제조업,체외진단 기기 및 시약,2019-05-28,12월,손미진,http://www.sugentech.com,대전광역시,2021-05-17,11035322955.0,5490267904.0,4378623342.0,5654990472.0,0.0,49.75,39.68,51.24,12567360884.0,3370814821.0,14332738086.0,3283734701.0,0.0,26.82,114.05,26.13,1108.0,531579815.0,-2052698817.0,-918824938.0,-2050380566.0,0.0,-386.15,-172.85,-385.71,1033194245.0,-1866713055.0,-4011329346.0,-4891874287.0,0.0,-180.67,-388.25,-473.47,-860.0,41351848298.0,22511791273.0,14332738086.0,-41018413359.0,-2542.0,4497.0,3914.0,21.71,-56.61,24.63,-64.96,435.9,207.49,1975.9484547019529,
244,244,151860,KOSDAQ,KG ETS,폐기물 처리업,"집단에너지(스팀), 산화동, 폐기물 소각",2013-07-24,12월,엄기민,http://www.kgets.co.kr,경기도,2021-05-17,694801340419.0,57835339819.0,48769822261.0,41859143593.0,0.0,8.32,7.02,6.02,40180763155.0,3846601354.0,28750250365.0,1581378834.0,0.0,9.57,71.55,3.94,2412.0,40862933667.0,6879739131.0,8818150130.0,1572921764.0,0.0,16.84,21.58,3.85,44018904176.0,1774407999.0,9770508358.0,84853784073.0,0.0,4.03,22.2,192.77,4800.0,153866929956.0,19057664833.0,28750250365.0,26670326348.0,740.0,53084.0,29169.0,1.81,1.04,4.54,2.54,-8.52,5.54,1600.3217294212682,
69,69,205470,KOSDAQ,휴마시스,의료용품 및 기타 의약 관련제품 제조업,체외진단키트,2014-12-01,12월,차정학,http://www.humasis.com,경기도,2021-05-25,20278182554.0,11917455189.0,11528690080.0,10063390894.0,0.0,58.77,56.85,49.63,22422512802.0,13343560077.0,14297964965.0,12617441553.0,0.0,59.51,63.77,56.27,1324.0,2107370356.0,141004135.0,-367177800.0,285670121.0,0.0,6.69,-17.42,13.56,2824861501.0,-506603495.0,779575191.0,1522560156.0,0.0,-17.93,27.6,53.9,104.0,45717211972.0,25358338804.0,14297964965.0,20937242284.0,611.0,2085.0,1422.0,48.15,30.7,63.5,43.01,52.080000000000005,77.44,862.250536374158,
38,38,65420,KOSDAQ,에스아이리소스,석탄 광업,유연탄,2002-08-22,12월,Ten Sun Ok(전순옥),http://www.siresource.co.kr,서울특별시,2021-05-14,2957279950.0,177519108.0,-332491524.0,216745305.0,216745305.0,6.0,-11.24,7.33,3415163065.0,275027774.0,-4432959129.0,793276080.0,1175593826.0,8.05,-129.8,23.23,28.0,367774981.0,-550536804.0,291588272.0,-394638952.0,-394638952.0,-149.69,79.28,-107.3,-6343853869.0,-198296564.0,-1341292307.0,-9180411441.0,1175593826.0,3.13,21.14,144.71,-280.0,13425932666.0,364930582.0,-4432959129.0,1175593826.0,17.0,224.0,197.0,11.9,7.65,12.49,8.73,155.69,4.920000000000001,704.1003610302681,
65,65,57880,KOSDAQ,피에이치씨,"섬유, 의복, 신발 및 가죽제품 소매업",의료기기,2003-12-29,12월,최인환,http://www.philosyshealthcare.co.kr,경기도,2021-05-17,18704170639.0,-505258980.0,-6816233899.0,-205611340.0,-205611340.0,-2.7,-36.44,-1.1,15136371410.0,4913694575.0,-9239930678.0,17212210237.0,7978501482.0,32.46,-61.04,113.71,420.0,2765277636.0,-1557572538.0,-2224615307.0,-3355128648.0,-3355128648.0,-56.33,-80.45,-121.33,3115998941.0,-2635287504.0,-13472833143.0,-20014566392.0,7978501482.0,-84.57,-432.38,-642.32,-578.0,25110394249.0,175688543.0,-9239930678.0,7978501482.0,98.0,1146.0,932.0,35.82,9.43,36.63,10.58,53.63,117.03,576.3939503035131,
41,41,89970,KOSDAQ,에이피티씨,특수 목적용 기계 제조업,300mm Poly Etch System,2018-08-23,12월,최우형,http://www.iaptc.com/,경기도,2021-04-29,85989460478.0,27094574996.0,27578456253.0,22928062734.0,0.0,31.51,32.07,26.66,36960836013.0,13453809539.0,13011642923.0,10621504671.0,0.0,36.4,35.2,28.74,2830.0,19198167955.0,4460358881.0,4067171122.0,4213474217.0,0.0,23.23,21.19,21.95,12129999706.0,2589983136.0,11804084633.0,1340519023.0,0.0,21.35,97.31,11.05,468.0,93030435633.0,29621977771.0,13011642923.0,23370146779.0,986.0,5163.0,3783.0,39.84,19.73,54.81,26.07,8.280000000000001,15.049999999999995,347.904511928206,
27,27,96530,KOSDAQ,씨젠,의료용품 및 기타 의약 관련제품 제조업,"호흡기성 병원체 검사제품, 성감염증원인균 검사제품",2010-09-10,12월,천종윤,http://seegene.co.kr,서울특별시,2021-05-14,351750094937.0,193934004100.0,23016536042.0,164627185453.0,164246141188.0,55.13,6.54,46.8,441737575276.0,257511763556.0,383157253783.0,186482814010.0,185336362169.0,58.3,86.74,42.22,13444.0,81771622784.0,39754028931.0,12648021304.0,33619363226.0,33676710269.0,48.62,15.47,41.11,33775666854.0,5127821364.0,27140749696.0,5638621577.0,482103502164.0,15.18,80.36,16.69,1502.0,1125215548220.0,676189736451.0,383157253783.0,502281109101.0,9616.0,18298.0,12375.0,46.09,45.89,73.47,77.7,6.510000000000005,43.12,330.1615682327217,
29,29,50320,KOSDAQ,아래스,기계장비 및 관련 물품 도매업,"볼밸브,압력조절기,산업용X-Ray부품",2002-01-15,12월,박래성,rs-t.kr,서울특별시,2021-05-13,1752792827.0,48613777.0,1009938427.0,682997321.0,0.0,2.77,57.62,38.97,2414924935.0,608273199.0,-612140277.0,-2729500226.0,428599763.0,25.19,-25.35,-113.03,-88.0,430818476.0,-467862130.0,-282560487.0,-463319037.0,0.0,-108.6,-65.59,-107.54,-7169596085.0,930473056.0,-3474969639.0,-622987632.0,428599763.0,-12.98,48.47,8.69,-46.0,6877620406.0,223880666.0,-612140277.0,248943845.0,5.0,83.0,128.0,-1184.25,1.79,-105.03,4.22,111.37,38.17,306.851823829394,
18,18,141000,KOSDAQ,비아트론,특수 목적용 기계 제조업,AMOLED 등 제조장비,2012-05-04,12월,김 형 준,http://www.viatrontech.com,경기도,2021-05-17,8557722867.0,626271132.0,11204661840.0,1774652230.0,0.0,7.32,130.93,20.74,30827161751.0,3051314878.0,-2704875055.0,3114349013.0,0.0,9.9,-8.77,10.1,806.0,2111084218.0,-934756894.0,2235031831.0,1379954037.0,0.0,-44.28,105.87,65.37,10086705290.0,446500135.0,-8148698077.0,-40486724.0,0.0,4.43,-80.79,-0.4,220.0,92583831607.0,16717496209.0,-2704875055.0,14688488615.0,1212.0,12294.0,11988.0,5.44,7.99,6.56,10.11,51.6,5.470000000000001,305.3709839727484,
16,16,64550,KOSDAQ,바이오니아,의료용품 및 기타 의약 관련제품 제조업,"합성유전자,시약및유전자분석장비",2005-12-29,12월,박한오,http://www.bioneer.co.kr,대전광역시,2021-05-14,49882054570.0,18147933957.0,14192905561.0,15164322579.0,0.0,36.38,28.45,30.4,61416587531.0,31270291305.0,95705376696.0,34917337515.0,0.0,50.92,155.83,56.85,3970.0,12604954879.0,-464119208.0,-1582803263.0,-20947685296.0,0.0,-3.68,-12.56,-166.19,7329996129.0,-3436546572.0,-5589453062.0,-2973943392.0,0.0,-46.88,-76.25,-40.57,-1896.0,206987464643.0,105197069477.0,95705376696.0,57899192628.0,2295.0,10127.0,5866.0,40.11,30.29,39.2,39.13,40.06,97.8,295.73370193576875,
39,39,241840,KOSDAQ,에이스토리,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송프로그램 제작,2019-07-19,12월,이상백,http://www.astory.co.kr,서울특별시,2021-05-17,16191909900.0,753787815.0,1828490805.0,1705984139.0,0.0,4.66,11.29,10.54,14773168290.0,558513335.0,6400243676.0,3076380268.0,0.0,3.78,43.32,20.82,1002.0,4098057553.0,-343620041.0,6355919501.0,-98683334.0,0.0,-8.38,155.1,-2.41,6882134698.0,-405099318.0,-7917386965.0,-775349333.0,0.0,-5.89,-115.04,-11.27,-182.0,22095888380.0,-877118696.0,6400243676.0,-7381011696.0,-774.0,4507.0,3222.0,12.97,-13.38,22.23,-24.03,13.04,9.67,295.11182287195174,
9,9,285490,KOSDAQ,노바텍,그외 기타 제품 제조업,"Magnet, Shield Magnet, 심재",2018-11-02,12월,오춘택,http://www.novatek.co.kr,경기도,2021-05-13,20473303550.0,8529447425.0,7701131341.0,10219058235.0,0.0,41.66,37.62,49.91,14756004651.0,9177811500.0,28945346562.0,6865692482.0,0.0,62.2,196.16,46.53,3388.0,5652818417.0,845158504.0,2320490042.0,5430926400.0,0.0,14.95,41.05,96.07,7763351976.0,2084819310.0,5239256303.0,-736616783.0,0.0,26.85,67.49,-9.49,930.0,67855056004.0,29335292183.0,28945346562.0,21967400817.0,2178.0,12579.0,8366.0,24.17,21.27,26.93,26.04,26.71,35.35,262.1786875097495,
17,17,33560,KOSDAQ,블루콤,영상 및 음향기기 제조업,블루투스헤드셋,2011-01-26,12월,김종규,http://www.bluec.co.kr,인천광역시,2021-05-14,15526445803.0,-560536603.0,2635692506.0,857429935.0,0.0,-3.61,16.98,5.52,23046321656.0,981264140.0,-5611002399.0,819139833.0,0.0,4.26,-24.35,3.55,196.0,4493577525.0,-3001957757.0,2993652467.0,-2727704038.0,0.0,-66.81,66.62,-60.7,7708762275.0,-1499933313.0,4483609552.0,7196316198.0,0.0,-19.46,58.16,93.35,522.0,53548726816.0,-4186659517.0,-5611002399.0,-518438024.0,-30.0,9339.0,9676.0,1.94,-0.29,2.1,-0.31,63.2,23.72,245.52526837733816,97.36098381991074
11,11,187870,KOSDAQ,디바이스이엔지,특수 목적용 기계 제조업,OLED용 FM MASK 세정장비,2017-12-20,12월,"최봉진, 방인호 각자대표",http://www.deviceeng.co.kr,충청남도,2021-05-14,37226402578.0,12080806671.0,4532688268.0,11236673651.0,0.0,32.45,12.18,30.18,35513441391.0,12057221554.0,35913666434.0,4345712811.0,0.0,33.95,101.13,12.24,4428.0,11616879267.0,931950875.0,-17834610686.0,1619613061.0,0.0,8.02,-153.52,13.94,24245129442.0,6601074082.0,21177567093.0,5163953844.0,0.0,27.23,87.35,21.3,1926.0,126172726712.0,43714286741.0,35913666434.0,30394735252.0,4318.0,15654.0,14040.0,20.84,19.3,28.29,30.76,24.430000000000003,6.720000000000002,220.4509724375704,
77,77,144960,KOSDAQ,뉴파워프라즈마,특수 목적용 기계 제조업,플라즈마 세정기(Remote Plasma Cleaning Generator),2016-11-30,12월,위순임,http://newpower.co.kr,경기도,2021-05-17,66780619144.0,5545797657.0,-2672353511.0,11184214827.0,0.0,8.3,-4.0,16.75,45989290535.0,3293842053.0,24478546043.0,17239482105.0,0.0,7.16,53.23,37.49,1300.0,21920311243.0,3160099114.0,5627625226.0,6364505609.0,0.0,14.42,25.67,29.03,19103461850.0,2626762145.0,4588281392.0,1431556945.0,0.0,13.75,24.02,7.49,356.0,108798640957.0,10912037251.0,24478546043.0,30343389957.0,694.0,6203.0,4616.0,7.27,6.36,20.96,15.04,-6.119999999999999,-6.59,204.65178347011664,
55,55,23440,KOSDAQ,제일제강,1차 철강 제조업,"연강선재, 경강선재, CHQ외",1994-10-07,12월,한상민,http://www.jeilsteel.co.kr,경기도,2021-05-14,15981764476.0,1011292899.0,4051396757.0,554341054.0,0.0,6.33,25.35,3.47,10403381756.0,-360986242.0,-4960828772.0,-713772550.0,0.0,-3.47,-47.68,-6.86,-8.0,5277058045.0,-1412992038.0,-1811800817.0,-1668734511.0,0.0,-26.78,-34.33,-31.62,5725384985.0,-1777764431.0,-1846356558.0,-1642973744.0,0.0,-31.05,-32.25,-28.7,-190.0,37520548943.0,-3625576469.0,-4960828772.0,-4382017524.0,-125.0,2048.0,1781.0,-0.24,-4.4,-0.39,-7.06,33.11,27.58,202.8536798290988,
