,Unnamed: 0,Unnamed: 0.1,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Revenue2021_12,Quarter_Operating_Profit2021_12,Quarter_Cashflow2021_12,Quarter_Earn2021_12,Quarter_Continue_Earn2021_12,Quarter_Percent_Operating_Profit2021_12,Quarter_Percent_Cashflow2021_12,Quarter_Percent_Earn2021_12,Quarter_Full_EPS,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Last_Revenue2020_12,Last_Operating_Profit2020_12,Last_Cashflow2020_12,Last_Earn2020_12,Last_Continue_Earn2020_12,Last_Percent_Operating_Profit2020_12,Last_Percent_Cashflow2020_12,Last_Percent_Earn2020_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before
32,32,514,39310,KOSDAQ,세중,여행사 및 기타 여행보조 서비스업,여행,2000-06-09,12월,"천신일,천세전",http://www.sejoong.com,서울특별시,2022-05-16,51893252575.0,1863627394.0,5256498572.0,2277121223.0,0.0,3.59,10.13,4.39,22546349816.0,1365686906.0,3383635378.0,-81312146.0,-81312146.0,6.06,15.01,-0.36,500.0,566672993.0,-132641773.0,270413746.0,557139339.0,0.0,-23.41,47.72,98.32,16850635834.0,306960051.0,1041465628.0,-1381177405.0,2303243950.0,1.82,6.18,-8.2,120.0,158089683253.0,4881682129.0,5405255272.0,4456476747.0,245.0,5013.0,4821.0,6.65,3.38,9.97,5.1,27.0,4.239999999999999,9057.530571604284,
496,496,972,66980,KOSDAQ,이엔코퍼레이션,기타 정보 서비스업,온라인정보제공,2003-01-17,12월,오태석,http://www.encorp.co.kr,서울특별시,2022-05-16,62128690875.0,2878568480.0,-6223582815.0,-1966407320.0,0.0,4.63,-10.02,-3.17,71404713790.0,2031270556.0,-286634731.0,-53153014.0,383149502.0,2.84,-0.4,-0.07,-172.0,2636433617.0,137764452.0,-23491759469.0,9645155443.0,0.0,5.23,-891.04,365.84,2989844172.0,-859581485.0,-3960510532.0,-34445685890.0,-2668021493.0,-28.75,-132.47,-1152.09,856.0,168287499305.0,3994439009.0,-19390120108.0,21002028216.0,466.0,2710.0,2170.0,-2.8,8.18,-6.34,21.52,-0.6000000000000005,31.59,2256.5429629780056,
121,121,1406,32860,KOSDAQ,휴먼엔,"해체, 선별 및 원료 재생업",철스크랩,1997-07-04,12월,"김하수,구희도",http://www.glosferlabs.com,경기도,2022-05-13,24141586940.0,-1238189845.0,-3374070152.0,-1575702665.0,-1575702665.0,-5.13,-13.98,-6.53,26678020992.0,665146032.0,-116006676.0,-7613297923.0,-7696152600.0,2.49,-0.43,-28.54,-348.0,1371132370.0,-630456433.0,10470827737.0,-924452959.0,-919990601.0,-45.98,763.66,-67.42,684476729.0,-775614063.0,-1831177423.0,-32630884666.0,-12173276256.0,-113.31,-267.53,-4767.27,-204.0,47260489522.0,784260070.0,-8809976017.0,-14788781032.0,-824.0,1332.0,1807.0,-17.32,-32.89,-26.11,-45.61,40.85,115.8,1660.7043249952592,
196,196,1403,205470,KOSDAQ,휴마시스,의료용품 및 기타 의약 관련제품 제조업,체외진단키트,2014-12-01,12월,차정학,http://www.humasis.com,경기도,2022-05-16,326378338982.0,203160627162.0,132476467438.0,159802706368.0,0.0,62.25,40.59,48.96,173906391397.0,99599136386.0,120459390470.0,75312498234.0,0.0,57.27,69.27,43.31,18676.0,20278182554.0,11917455189.0,11528690080.0,10063390894.0,0.0,58.77,56.85,49.63,22422512802.0,13343560077.0,8778580491.0,12617441553.0,0.0,59.51,39.15,56.27,1176.0,321829140756.0,193592723916.0,205023365614.0,151204591708.0,4418.0,12669.0,5903.0,84.89,44.38,147.41,74.85,3.479999999999997,-2.239999999999995,1509.5048859179929,
120,120,1396,64240,KOSDAQ,홈캐스트,영상 및 음향기기 제조업,디지털 셋톱박스,2003-06-11,12월,권영철,http://www.homecast.net,서울특별시,2022-05-16,23514794506.0,-407769672.0,7379851358.0,1537513445.0,1537513445.0,-1.73,31.38,6.54,-11676786044.0,645668310.0,1740103234.0,18974100939.0,2514171211.0,-5.53,-14.9,-162.49,172.0,3663728578.0,-874219385.0,-20619495669.0,-1798048361.0,-1383235535.0,-23.86,-562.8,-49.08,-11755979305.0,4485670760.0,9337710075.0,-4792766574.0,5010439183.0,-38.16,-79.43,40.77,-204.0,17068079766.0,-4558163920.0,-16926801781.0,19801034231.0,565.0,3211.0,2750.0,5.11,19.03,5.36,20.55,22.13,32.629999999999995,541.8268713245275,
34,34,543,253840,KOSDAQ,수젠텍,의료용품 및 기타 의약 관련제품 제조업,체외진단 기기 및 시약,2019-05-28,12월,손미진,http://www.sugentech.com,대전광역시,2022-05-11,67939612533.0,44711324011.0,1147625049.0,34937416139.0,0.0,65.81,1.69,51.42,25658259511.0,11522033961.0,15593322034.0,11182727422.0,0.0,44.91,60.77,43.58,8988.0,11035322955.0,5490267904.0,4378623342.0,5654990472.0,0.0,49.75,39.68,51.24,12567360884.0,3370814821.0,3490375057.0,3283734701.0,0.0,26.82,27.77,26.13,1452.0,77201041452.0,34813542443.0,38955129427.0,36151559448.0,2326.0,9533.0,6482.0,61.1,23.24,94.27,35.88,16.060000000000002,18.09,515.6558608211571,
102,102,1237,277880,KOSDAQ,티에스아이,특수 목적용 기계 제조업,"2차전지 장비(믹싱시스템, 믹싱제작품, 믹싱 공사, 코터건조시스템)",2020-07-22,12월,표인식,http://taesungind.co.kr/,경기도,2022-05-04,46078510354.0,3826139910.0,12969793478.0,1349428270.0,0.0,8.3,28.15,2.93,29570504239.0,2015922522.0,-11067338246.0,9789502865.0,0.0,6.82,-37.43,33.11,288.0,8488410431.0,-647785479.0,-4052529119.0,-233392960.0,0.0,-7.63,-47.74,-2.75,10049701738.0,-1056834592.0,1928839247.0,-1802439743.0,0.0,-10.52,19.19,-17.94,-48.0,67319918067.0,-128616504.0,-36458108439.0,1167242328.0,62.0,2928.0,2197.0,3.11,0.94,9.83,2.87,15.93,17.34,442.8402729646474,
320,320,22,297890,KOSDAQ,HB솔루션,특수 목적용 기계 제조업,"디스플레이 제조용 장비(도포기, 조립기, 검사기)",2020-06-22,12월,"이흥근, 이재원(공동 대표이사)",http://www.hb-solution.co.kr,충청남도,2022-04-28,28145432242.0,3012535770.0,-36603662242.0,3812401351.0,0.0,10.7,-130.05,13.55,17823562355.0,1428940038.0,-8691265216.0,4624904313.0,0.0,8.02,-48.76,25.95,912.0,6089401246.0,-1872162881.0,-9851689970.0,-1861269697.0,0.0,-30.74,-161.78,-30.57,7774411221.0,392329788.0,4221241566.0,-233762206.0,0.0,5.05,54.3,-3.01,-444.0,46773127251.0,667762433.0,-23280140107.0,6084585788.0,364.0,7027.0,6215.0,7.37,3.83,12.98,5.86,41.44,2.97,362.2036076287162,
29,29,472,263540,KOSDAQ,샘코,"항공기,우주선 및 부품 제조업",도어시스템,2017-09-15,12월,정기환,http://www.samcokorea.com,경상남도,2022-05-16,10984364508.0,1868038578.0,-2312367524.0,817790653.0,0.0,17.01,-21.05,7.45,7102293809.0,4234577634.0,-344619433.0,2572384012.0,0.0,59.62,-4.85,36.22,2184.0,2685316659.0,-4232227959.0,-3217310317.0,-4329871120.0,0.0,-157.61,-119.81,-161.24,5831380314.0,-5567972871.0,672221509.0,-6567560515.0,0.0,-95.48,11.53,-112.62,-11576.0,20274726202.0,-2958092103.0,-163146114.0,-5034011304.0,-3365.0,731.0,692.0,9.28,-13.75,298.58,-485.77,174.62,155.1,309.05285680872095,
10,10,194,290670,KOSDAQ,대보마그네틱,기타 전기장비 제조업,"전자석탈철기, 자력선별기",2018-11-06,12월,"이준각, 이상익 각자대표",http://www.daebo.com,경기도,2022-05-16,25474368279.0,6025865593.0,3334133478.0,5329298926.0,0.0,23.65,13.09,20.92,17792419828.0,2189309003.0,4952345719.0,2095432544.0,0.0,12.3,27.83,11.78,2724.0,6319684374.0,409123348.0,-986680575.0,507219466.0,0.0,6.47,-15.61,8.03,2950015783.0,-1019562645.0,1558631016.0,-1109355287.0,0.0,-34.56,52.83,-37.61,256.0,42919554645.0,5759535913.0,1715216214.0,5049756684.0,645.0,8228.0,7494.0,26.61,7.29,33.11,8.61,17.18,46.86,303.09557837737674,52.86232611682349
22,22,418,121800,KOSDAQ,비덴트,통신 및 방송 장비 제조업,방송용 LCD모니터,2011-12-01,12월,김영만,http://www.vidente.co.kr,서울특별시,2022-05-16,9239041329.0,444858158.0,1612560591.0,4549347563.0,0.0,4.81,17.45,49.24,8381655143.0,468126968.0,-3063971862.0,43479534867.0,0.0,5.59,-36.56,518.75,336.0,2381821231.0,-586392657.0,-61576889063.0,97277785706.0,0.0,-24.62,-2585.29,4084.18,2477710414.0,-3843042135.0,706739401.0,1668746688.0,0.0,-155.1,28.52,67.35,7216.0,17686241397.0,772428692.0,-3222801697.0,223299440697.0,4142.0,15114.0,12359.0,1.75,25.56,2.22,33.52,29.43,160.69,287.89818516820503,
59,59,796,66970,KOSDAQ,엘앤에프,일차전지 및 축전지 제조업,2차전지 양극활물질,2003-01-02,12월,최수안,http://www.landf.co.kr,대구광역시,2022-05-16,553588700000.0,53046644000.0,-32949714000.0,70708281000.0,0.0,9.58,-5.95,12.77,380115793201.0,28253785454.0,-17781857911.0,-93537651822.0,0.0,7.43,-4.68,-24.61,7872.0,144487049000.0,-3268101000.0,-31750232000.0,-3979263000.0,0.0,-2.26,-21.97,-2.75,100755898629.0,-1264845890.0,13956569907.0,-14893910604.0,0.0,-1.26,13.85,-14.78,-440.0,970760874482.0,44252213145.0,-138078706855.0,-113092847715.0,-3147.0,22655.0,17679.0,14.46,-7.38,34.75,-17.8,11.84,8.69,283.14070626496084,
28,28,462,46390,KOSDAQ,삼화네트웍스,"영화, 비디오물, 방송프로그램 제작 및 배급업","시스템통합(SI), 시스템유지(SM)",2001-01-11,12월,"공동대표이사 안제현, 신상윤",http://www.shnetworks.co.kr,서울특별시,2022-05-13,12120937533.0,4675078845.0,1842873519.0,1508480403.0,0.0,38.57,15.2,12.45,27764552752.0,9012852358.0,7951526121.0,8192481458.0,0.0,32.46,28.64,29.51,136.0,3420200944.0,-392207368.0,-5157301406.0,-171575723.0,0.0,-11.47,-150.79,-5.02,4145619808.0,380994519.0,-3762177088.0,-669714336.0,0.0,9.19,-90.75,-16.15,-12.0,32924849512.0,6750170051.0,-3454101876.0,6409043373.0,148.0,1219.0,1021.0,5.64,7.93,11.15,14.53,50.04,23.270000000000003,254.39255562640415,
156,156,770,950130,KOSDAQ,엑세스바이오,의료용품 및 기타 의약 관련제품 제조업,"말라리아 진단키트(RDT), HIV 진단키트(RDT)",2013-05-30,12월,최영호,http://www.accessbio.net,미국,2022-05-16,668966774.0,321536498.0,477504411.0,234370561.0,0.0,48.06,71.38,35.03,191055054.0,79434563.0,113913221.0,58724566.0,0.0,41.58,59.62,30.74,24.0,202608120.0,163275564.0,36279402.0,109545655.0,0.0,80.59,17.91,54.07,77631058.0,56141627.0,34866890.0,39834968.0,0.0,72.32,44.91,51.31,12.0,441369161.0,227297588.0,137896975.0,165751954.0,4.0,14.0,6.0,87.88,44.46,162.47,67.75,-32.53,-30.739999999999995,230.1776720498665,
6,6,99,35290,KOSDAQ,골드앤에스,"서적, 잡지 및 기타 인쇄물 출판업","방과후컴퓨터상설반,교재및CD",1999-12-07,12월,신승호,http://www.wfminc.co.kr,서울특별시,2022-05-16,4412179105.0,299584658.0,665466939.0,307167151.0,307167151.0,6.79,15.08,6.96,4698347507.0,751501488.0,737276345.0,214362838.0,790661535.0,16.0,15.69,4.56,32.0,1340928150.0,27026390.0,206070550.0,-485121063.0,-485121063.0,2.02,15.37,-36.18,701695995.0,-1040658532.0,66825742.0,5173764262.0,4991300219.0,-148.31,9.52,737.32,-52.0,13506638600.0,1355619421.0,2035558915.0,770698315.0,21.0,429.0,418.0,4.26,2.95,7.45,5.08,4.77,164.31,229.0391886396001,
96,96,1200,352770,KOSDAQ,클리노믹스,의료용품 및 기타 의약 관련제품 제조업,"Geno Series, CD-PRIME, Cancer Prime",2020-12-04,12월,"정종태, 박종화(각자 대표이사)",http://www.clinomics.com,울산광역시,2022-05-16,12807036648.0,1310772799.0,-2515773421.0,712518825.0,0.0,10.23,-19.64,5.56,28323252103.0,15007674139.0,6099640585.0,12974773467.0,0.0,52.99,21.54,45.81,208.0,3968111697.0,-1122234090.0,-2477309104.0,-1140236551.0,0.0,-28.28,-62.43,-28.73,2003451314.0,-3350692271.0,-2112919623.0,-3287305840.0,0.0,-167.25,-105.46,-164.08,-336.0,55426003735.0,22924005862.0,2117902118.0,15852874678.0,1177.0,5466.0,4352.0,2.31,15.45,3.81,27.05,38.510000000000005,220.24,222.74889483787632,
88,88,1083,144510,KOSDAQ,지씨셀,"그외 기타 전문, 과학 및 기술 서비스업","세포치료제, 검체검사서비스, 제대혈은행",2016-06-23,12월,박대우,http://www.gclabcell.com,경기도,2022-05-13,83797344907.0,36126227148.0,26906354355.0,24640828110.0,0.0,43.11,32.11,29.41,73557965800.0,20979168095.0,491120210.0,16625488663.0,0.0,28.52,0.67,22.6,6236.0,27259532516.0,3700066561.0,14178015090.0,5123162902.0,0.0,13.57,52.01,18.79,26479153183.0,1324913479.0,922340619.0,607930320.0,0.0,5.0,3.48,2.3,1296.0,168309996622.0,36342975184.0,23907829074.0,31421669616.0,1988.0,62617.0,32634.0,8.17,4.87,9.96,6.09,29.54,23.52,207.4056565636813,
