,Unnamed: 0.1,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2022_6,Quarter_Operating_Profit2022_6,Quarter_Cashflow2022_6,Quarter_Earn2022_6,Quarter_Continue_Earn2022_6,Quarter_Percent_Operating_Profit2022_6,Quarter_Percent_Cashflow2022_6,Quarter_Percent_Earn2022_6,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Full_EPS,Last_Revenue2021_6,Last_Operating_Profit2021_6,Last_Cashflow2021_6,Last_Earn2021_6,Last_Continue_Earn2021_6,Last_Percent_Operating_Profit2021_6,Last_Percent_Cashflow2021_6,Last_Percent_Earn2021_6,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before,Quarter_Top_Stock_Price,Recent_Market_Gun,Quarter_Per,Last_Top_Stock_Price,Fake_Last_Per,Real_Last_Per,Price_Percent_Change,Price_Percent_Change_Three_Year,Price_Percent_Compare_Old_Biggest_Now,Old_Top_Stock_Price_Date,Price_Percent_Change_Year,Price_Percent_Compare_Last_Bigget_Now,Last_Top_Stock_Price_Date
0,3,211270,KOSDAQ,AP위성,통신 및 방송 장비 제조업,위성통신 단말기,2016-03-04,12월,류장수,http://www.apsi.co.kr,서울특별시,2022-08-12,15087737.0,14480159806.0,209688359.0,6804832976.0,849643867.0,0.0,1.45,46.99,5.87,9477113267.0,317207337.0,6480701743.0,659058999.0,0.0,3.35,68.38,6.95,224.0,5768794042.0,-724787064.0,482113838.0,-688780264.0,0.0,-12.56,8.36,-11.94,5896003439.0,-981792965.0,2604569363.0,122590527.0,0.0,-16.65,44.18,2.08,-180.0,40201720460.0,842198469.0,-1505269983.0,1401740834.0,92.0,10875.0,5375.0,1.57,1.26,2.06,1.73,14.01,20.0,151.00843782212462,,11800,178035296600,52.68,18500,-102.78,201.09,5.44,229.9,89.83,2021-02-22,54.81,56.78,2022-05-19
3,14,68790,KOSDAQ,DMS,특수 목적용 기계 제조업,LCD 제조장비,2004-10-01,12월,박용석,http://www.dms21.co.kr,경기도,2022-08-12,24570396.0,77271645931.0,13786218963.0,13511698150.0,9770184035.0,0.0,17.84,17.49,12.64,57729050858.0,9644754893.0,5881645816.0,9519417064.0,0.0,16.71,10.19,16.49,1588.0,61775591566.0,8361346429.0,9437597905.0,10255245017.0,0.0,13.54,15.28,16.6,38771874787.0,3897301965.0,4840789151.0,7470426265.0,0.0,10.05,12.49,19.27,1668.0,225393632210.0,32010203266.0,24810140816.0,33093321332.0,1346.0,24482.0,11590.0,4.51,7.87,6.49,11.62,4.300000000000001,6.66,25.0844289341111,,5690,139805553240,3.58,8430,5.05,6.26,2.67,125.7,101.23,2020-09-10,49.76,48.15,2021-08-12
7,22,297890,KOSDAQ,HB솔루션,특수 목적용 기계 제조업,"디스플레이 제조용 장비(도포기, 조립기, 검사기)",2020-06-22,12월,"이흥근, 이재원(공동 대표이사)",http://www.hb-solution.co.kr,충청남도,2022-08-12,16719190.0,73953498945.0,16492052951.0,7493806194.0,17810244889.0,0.0,22.3,10.13,24.08,28145432242.0,3012535770.0,-36603662242.0,3812401351.0,0.0,10.7,-130.05,13.55,4260.0,5385766786.0,-139440082.0,-16309287401.0,190274607.0,0.0,-2.59,-302.82,3.53,6089401246.0,-1872162881.0,-9851689970.0,-1861269697.0,0.0,-30.74,-161.78,-30.57,44.0,46773127251.0,667762433.0,-23280140107.0,6084585788.0,363.0,13769.0,6212.0,20.45,3.83,30.94,5.86,24.89,41.44,1273.1285048813843,377.3645831993213,14200,237412498000,3.33,28050,637.5,77.27,8.56,93.79,108.8,2021-07-29,104.0,97.54,2021-08-12
10,37,36670,KOSDAQ,KCI,기타 화학제품 제조업,"폴리머,레진,계면활성제",2001-01-03,12월,이진용,http://www.kciltd.com,충청남도,2022-08-16,11268954.0,28224716846.0,6532609651.0,4211636568.0,5441585416.0,0.0,23.14,14.92,19.28,23555916571.0,3791293336.0,2078567997.0,3172175801.0,0.0,16.09,8.82,13.47,1928.0,19174759773.0,2554201256.0,5097481352.0,2137948774.0,0.0,13.32,26.58,11.15,17029051873.0,924277612.0,5683154171.0,1034219943.0,0.0,5.43,33.37,6.07,756.0,81501152546.0,12443152363.0,7686720547.0,10155281742.0,901.0,15312.0,7327.0,10.13,10.43,12.59,12.3,9.82,10.66,47.19723834946425,,9030,101758654620,4.68,9910,13.11,11.0,1.52,38.76,34.0,2020-08-25,17.98,9.75,2022-04-27
14,43,60720,KOSDAQ,KH바텍,전자부품 제조업,"휴대폰부품(SHIELD, BRACKET)",2002-05-21,12월,남광희,http://www.khvatec.com,경상북도,2022-08-16,23670225.0,53800850488.0,3740944398.0,4282705250.0,4587273450.0,6225998626.0,6.95,7.96,8.53,66081733433.0,4942359029.0,-16736566369.0,5426619974.0,5547182496.0,7.48,-25.33,8.21,772.0,41225106572.0,1132910915.0,2041819099.0,-2606167495.0,-2501610078.0,2.75,4.95,-6.32,38997140445.0,695821307.0,-1976885995.0,3405640259.0,3645391236.0,1.78,-5.07,8.73,-440.0,339842788109.0,26919687491.0,75374210680.0,33412209394.0,1411.0,18307.0,9150.0,2.61,8.75,4.22,15.43,4.2,5.7,30.505061021580037,,19400,459202365000,25.13,31250,-71.02,22.15,8.84,73.13,61.08,2021-09-02,57.83,61.08,2021-09-02
17,47,114450,KOSDAQ,KPX생명과학,기초 의약물질 및 생물학적 제제 제조업,의약품 중간체 등,2009-12-22,12월,"양준화, 이기성(각자 대표이사)",http://www.kpxls.com/,전라남도,2022-08-12,15000000.0,10889616000.0,-1079241435.0,-1600387779.0,-484948987.0,0.0,-9.91,-14.7,-4.45,14522961541.0,48645438.0,-4501644102.0,104192503.0,0.0,0.33,-31.0,0.72,-128.0,5572751146.0,-942457075.0,-2043514783.0,-312465220.0,0.0,-16.91,-36.67,-5.61,5419321922.0,-895668959.0,-1059617903.0,-507709362.0,0.0,-16.53,-19.55,-9.37,-80.0,25337689222.0,-4648268142.0,611383950.0,-3135871535.0,-209.0,7486.0,3753.0,-1.36,-4.36,-1.71,-5.57,7.0,16.86,95.4082591291795,,5660,84900000000,-44.22,12700,-158.75,-60.77,2.88,384.73,384.98,2020-11-12,124.86,124.38,2021-12-27
19,86,36620,KOSDAQ,감성코퍼레이션,기타 전문 도매업,"고지유통, ERP시스템 운영",2000-01-11,12월,김호선,http://www.virtualtek.co.kr,서울특별시,2022-08-16,79619613.0,25575644894.0,3386873485.0,1170197794.0,2387149659.0,2387149659.0,13.24,4.58,9.33,15904180690.0,686054020.0,-2211172179.0,2322970270.0,2322970270.0,4.31,-13.9,14.61,116.0,9403957702.0,-465583956.0,-3362802064.0,-111296355.0,-111296355.0,-4.95,-35.76,-1.18,6073100714.0,-1156945975.0,-2845427975.0,-1190355585.0,-1190355585.0,-19.05,-46.85,-19.6,-4.0,48936589545.0,1160109341.0,-1148519446.0,281383557.0,3.0,851.0,365.0,8.1,0.63,13.63,0.97,18.19,23.36,171.96682188990135,,1750,139334322750,15.09,2665,-666.25,888.33,4.68,262.59,52.29,2021-10-20,66.56,52.29,2021-10-20
22,100,38530,KOSDAQ,골드퍼시픽,생활용품 도매업,"주문형반도체, IMT-2000 Modem Chip 등",2000-06-09,12월,조정영,http://www.corecross.com,서울특별시,2022-08-12,91988722.0,8048410636.0,181853652.0,-233666480.0,-3077334669.0,-3109313771.0,2.26,-2.9,-38.24,8703370842.0,-351568962.0,-1273502986.0,-3128891760.0,-3142514744.0,-4.04,-14.63,-35.95,-132.0,1158572080.0,-510999466.0,493496485.0,2004878882.0,2107651213.0,-44.11,42.6,173.05,989959830.0,-485540219.0,-2114591134.0,-7224298856.0,-7465164691.0,-49.05,-213.6,-729.76,84.0,8722064109.0,-4780314817.0,-1119507378.0,-19466291331.0,-211.0,1487.0,684.0,-7.39,-22.28,-8.88,-30.91,46.37,45.01,594.6836347031598,,669,61540455018,-5.07,2395,28.51,-11.35,5.99,152.79,306.58,2021-01-20,221.05,258.0,2021-09-23
23,105,14200,KOSDAQ,광림,자동차용 엔진 및 자동차 제조업,"전기공사용 특수차량 및 중량물 운반용 크레인을 생산, 판매하는 제조업체",1993-07-07,12월,성석경,http://www.kanglim.com,충청북도,2022-08-16,90692105.0,55629555659.0,5280959099.0,4321374557.0,-18157395261.0,0.0,9.49,7.77,-32.64,46190054500.0,4171325023.0,1393489019.0,1026149772.0,0.0,9.03,3.02,2.22,-800.0,36690862205.0,344747044.0,-6850916164.0,-31130294138.0,0.0,0.94,-18.67,-84.84,34465604456.0,101577088.0,-2378377944.0,-241913372.0,0.0,0.29,-6.9,-0.7,-1372.0,188434983966.0,11277961364.0,9903827990.0,-23012093089.0,-253.0,3502.0,1386.0,-12.87,-8.56,-22.84,-18.3,8.55,8.74,51.6169212600819,,1420,128782789100,-1.77,4560,-3.32,-18.02,2.61,194.79,238.38,2021-06-01,178.9,221.13,2022-04-04
24,126,121600,KOSDAQ,나노신소재,기타 화학제품 제조업,"인듐계 산화물 TCO Target, 반도체 CMP Slurry 등",2011-02-09,12월,박장우,http://anapro.com,세종특별자치시,2022-08-11,10908157.0,20823125334.0,4667363127.0,7204060498.0,6503645545.0,0.0,22.41,34.6,31.23,18831155646.0,3686204730.0,4287719014.0,3925847609.0,0.0,19.58,22.77,20.85,2384.0,14631057088.0,1108084140.0,7154546706.0,1221909199.0,0.0,7.57,48.9,8.35,14644275641.0,1342175665.0,-102233740.0,2276082444.0,0.0,9.17,-0.7,15.54,448.0,61068879919.0,5721638898.0,10600692726.0,7429567940.0,681.0,26820.0,9150.0,7.5,6.13,8.89,7.44,14.84,10.409999999999998,42.32140035239537,,87400,953372921800,36.66,97200,216.96,142.73,4.76,511.05,11.21,2022-06-02,126.34,11.21,2022-06-02
