,Unnamed: 0,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2019_6,Quarter_Operating_Profit2019_6,Quarter_Cashflow2019_6,Quarter_Earn2019_6,Quarter_Continue_Earn2019_6,Quarter_Percent_Operating_Profit2019_6,Quarter_Percent_Cashflow2019_6,Quarter_Percent_Earn2019_6,Quarter_Revenue2019_3,Quarter_Operating_Profit2019_3,Quarter_Cashflow2019_3,Quarter_Earn2019_3,Quarter_Continue_Earn2019_3,Quarter_Percent_Operating_Profit2019_3,Quarter_Percent_Cashflow2019_3,Quarter_Percent_Earn2019_3,Quarter_Full_EPS,Last_Revenue2018_6,Last_Operating_Profit2018_6,Last_Cashflow2018_6,Last_Earn2018_6,Last_Continue_Earn2018_6,Last_Percent_Operating_Profit2018_6,Last_Percent_Cashflow2018_6,Last_Percent_Earn2018_6,Last_Revenue2018_3,Last_Operating_Profit2018_3,Last_Cashflow2018_3,Last_Earn2018_3,Last_Continue_Earn2018_3,Last_Percent_Operating_Profit2018_3,Last_Percent_Cashflow2018_3,Last_Percent_Earn2018_3,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before
31,31,2620,KOSPI,제일파마홀딩스,회사 본부 및 경영 컨설팅 서비스업,"의약품(타리비드,제일파프,노엘,푸라솔) 제조,도매",1988-01-20,12월,한상철,http://www.jeilpharm.co.kr,서울특별시,2019-08-14,185349357615.0,6834904998.0,28402273674.0,3819965772.0,3819965772.0,3.69,15.32,2.06,179073615580.0,4334775300.0,14417787648.0,1754969963.0,1754969963.0,2.42,8.05,0.98,956.0,16294275482.0,1917420979.0,2667985961.0,2055445258.0,2055445258.0,11.77,16.37,12.61,14927446159.0,2035663982.0,2193732699.0,1437795068.0,1437795068.0,13.64,14.7,9.63,512.0,142736342504.0,10949406740.0,-3432762666.0,7301628910.0,457.0,73989.0,36908.0,0.84,0.79,1.29,1.24,-8.08,-11.22,1037.5121147285877,
18,18,5720,KOSPI,넥센,고무제품 제조업,"자동차용 재생타이어튜브,솔리드타이어,고무부품,골프볼,와이어로프소재,특수강선,열처리도금선,건자재 제조,판매,수출입",1987-12-19,12월,"강병중, 강호찬, 배중열",http://www.nexencorp.co.kr,경상남도,2019-08-14,614323686554.0,69189152113.0,115963841286.0,37674680462.0,0.0,11.26,18.88,6.13,555853539434.0,53486409681.0,-49141881012.0,27595358931.0,0.0,9.62,-8.84,4.96,2812.0,111494979712.0,16452435471.0,24154502556.0,16931974368.0,0.0,14.76,21.66,15.19,105699405309.0,15770994129.0,4828891403.0,13340023825.0,0.0,14.92,4.57,12.62,1264.0,1360025189266.0,143585321902.0,135605705533.0,62198850768.0,1161.0,72254.0,35163.0,1.85,1.63,3.89,3.3,-3.5,-5.300000000000001,450.9877558082389,
30,30,84680,KOSPI,이월드,귀금속 및 장신용품 제조업,"놀이시설 운영,입장료,식음료 소매,부동산 임대",2005-07-26,12월,"방병순, 이수원",http://www.eworld.kr,대구광역시,2019-08-14,51492454665.0,4588768883.0,34188585890.0,3393052917.0,0.0,8.91,66.4,6.59,39707015827.0,6682741578.0,7800261366.0,5068742664.0,0.0,16.83,19.64,12.77,92.0,9850108795.0,2307999727.0,6004209589.0,1995589953.0,0.0,23.43,60.96,20.26,8228681361.0,1436742900.0,1834762545.0,1303843141.0,0.0,17.46,22.3,15.85,56.0,33574122681.0,4576440203.0,0.0,9294039772.0,65.0,5474.0,1156.0,1.27,3.53,1.68,5.67,-14.52,-0.6300000000000026,422.7602632281383,
88,88,13700,KOSPI,까뮤이앤씨,건물 건설업,"토목공사,건축공사/부동산 임대",1989-11-30,12월,손병재,http://www.camusenc.com,경기도,2019-08-14,84320586310.0,5929028776.0,-8425039876.0,4307250522.0,0.0,7.03,-9.99,5.11,57688388787.0,4679764041.0,-2695467355.0,3496975241.0,0.0,8.11,-4.67,6.06,380.0,22893028308.0,713952543.0,-13905893779.0,-533650321.0,0.0,3.12,-60.74,-2.33,20168777251.0,1434665775.0,-10620527415.0,1354382741.0,0.0,7.11,-52.66,6.72,-44.0,116296827608.0,4050403632.0,-6807594676.0,1738795778.0,38.0,2859.0,1319.0,4.95,1.22,13.29,2.92,3.91,0.9999999999999992,268.3243001998738,
77,77,9160,KOSPI,SIMPAC,특수 목적용 기계 제조업,"프레스,자동화장치,자동차부품 제조,도매",1989-07-29,12월,최진식,http://www.simpac.co.kr,인천광역시,2019-08-14,120812104118.0,3409243775.0,9934011052.0,4842556474.0,0.0,2.82,8.22,4.01,104439076418.0,5711478405.0,-6018368989.0,3951287785.0,0.0,5.47,-5.76,3.78,296.0,46847158476.0,-170294297.0,27315823398.0,1245021262.0,0.0,-0.36,58.31,2.66,45646069919.0,2392567263.0,17327373701.0,1438715058.0,0.0,5.24,37.96,3.15,76.0,306150808985.0,10190571935.0,37360241881.0,69198558111.0,1057.0,13405.0,6649.0,1.43,10.15,2.21,15.91,3.18,0.2299999999999995,157.88566062100128,
5,5,90370,KOSPI,메타랩스,봉제의복 제조업,"여성용 의류(캐쥬얼티셔츠,바지) 제조",2006-12-26,12월,유지헌,http://www.metalabs.co.kr,서울특별시,2019-08-14,26253964235.0,-783364517.0,-4489267356.0,-10656452267.0,-10656452267.0,-2.98,-17.1,-40.59,16394367335.0,492283576.0,-33741423.0,-727784753.0,-727784753.0,3.0,-0.21,-4.44,-644.0,11536657392.0,-2326784702.0,-253405007.0,-9588345495.0,-9457672480.0,-20.17,-2.2,-83.11,10419257157.0,-5319419652.0,-1056185006.0,-4976127977.0,-5470633556.0,-51.05,-10.14,-47.76,-580.0,47375133978.0,-8756238309.0,-6896735857.0,-13521275944.0,-205.0,2139.0,1111.0,-18.25,-12.62,-30.09,-18.46,17.19,54.05,127.56993939341211,
27,27,112610,KOSPI,씨에스윈드,"구조용 금속제품, 탱크 및 증기발생기 제조업",풍력발전타워 제조,2014-11-27,12월,"김성권, 김승범",http://www.cswind.com,충청남도,2019-08-14,239642622534.0,12644102228.0,75704158622.0,6099673332.0,0.0,5.28,31.59,2.55,175101523292.0,13580479669.0,31391015023.0,11604365301.0,0.0,7.76,17.93,6.63,576.0,110435406515.0,7300885807.0,-23158311.0,7653147363.0,0.0,6.61,-0.02,6.93,80072381280.0,1429595761.0,9526735731.0,697154603.0,0.0,1.79,11.9,0.87,724.0,502207595937.0,32744639258.0,-20528787212.0,5924276382.0,140.0,15820.0,7554.0,1.92,0.98,3.64,1.86,-1.33,5.97,116.99799918919148,-84.2530777912773
23,23,2410,KOSPI,범양건영,건물 건설업,"토목공사,주택건설,건축공사,난방공사,전기공사,포장공사",1988-05-25,12월,"강병주, 이동주 (각자대표)",http://www.iby.co.kr,부산광역시,2019-08-13,67873841789.0,2521482192.0,3788136751.0,2154728094.0,2154728094.0,3.71,5.58,3.17,62230777327.0,2221694978.0,-4994145389.0,2264353367.0,2264353367.0,3.57,-8.03,3.64,344.0,31432994376.0,733204771.0,11054734411.0,594855369.0,594855369.0,2.33,35.17,1.89,26580713129.0,434670846.0,985011994.0,677497768.0,677497768.0,1.64,3.71,2.55,92.0,155644035118.0,6811554223.0,22944431438.0,5426688440.0,218.0,4358.0,2019.0,3.53,4.59,7.89,10.82,1.38,1.93,115.93183575543678,
11,11,5690,KOSPI,파미셀,기초 의약물질 및 생물학적 제제 제조업,"줄기세포치료제,화장품",1988-05-20,12월,김현수,http://www.pharmicell.com,서울특별시,2019-08-12,8757236375.0,918995788.0,-511314650.0,1128403915.0,0.0,10.49,-5.84,12.89,8180320528.0,856456438.0,-756754606.0,965409179.0,0.0,10.47,-9.25,11.8,72.0,4794104916.0,-445374982.0,799775479.0,-397238605.0,0.0,-9.29,16.68,-8.29,5951837228.0,-567068881.0,66144614.0,-533380300.0,0.0,-9.53,1.11,-8.96,-24.0,28351801126.0,260178848.0,3404989339.0,-12680884168.0,-211.0,1634.0,791.0,3.6,-21.45,4.41,-26.7,19.78,20.0,82.6667652969654,
3,3,77970,KOSPI,STX엔진,일반 목적용 기계 제조업,"엔진,터빈,내연기관 제조,도매",2004-05-10,12월,박기문,http://www.stxengine.co.kr,경상남도,2019-08-14,191302000000.0,18824000000.0,44715000000.0,12936000000.0,0.0,9.84,23.37,6.76,116716000000.0,8359000000.0,-13703000000.0,6518000000.0,0.0,7.16,-11.74,5.58,2248.0,108266000000.0,3180000000.0,-42679000000.0,1086000000.0,0.0,2.94,-39.42,1.0,71882000000.0,1631000000.0,-27079000000.0,-592000000.0,0.0,2.27,-37.67,-0.82,188.0,577328000000.0,31337000000.0,-59180000000.0,27899000000.0,1212.0,20331.0,9614.0,2.91,3.23,11.06,12.61,6.9,4.890000000000001,76.69628507564703,
