,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2022_6,Quarter_Operating_Profit2022_6,Quarter_Cashflow2022_6,Quarter_Earn2022_6,Quarter_Continue_Earn2022_6,Quarter_Percent_Operating_Profit2022_6,Quarter_Percent_Cashflow2022_6,Quarter_Percent_Earn2022_6,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Full_EPS,Last_Revenue2021_6,Last_Operating_Profit2021_6,Last_Cashflow2021_6,Last_Earn2021_6,Last_Continue_Earn2021_6,Last_Percent_Operating_Profit2021_6,Last_Percent_Cashflow2021_6,Last_Percent_Earn2021_6,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before,Quarter_Top_Stock_Price,Recent_Market_Gun,Quarter_Per,Last_Top_Stock_Price,Fake_Last_Per,Real_Last_Per,Price_Percent_Change,Price_Percent_Change_Three_Year,Price_Percent_Compare_Old_Biggest_Now,Old_Top_Stock_Price_Date,Price_Percent_Change_Year,Price_Percent_Compare_Last_Bigget_Now,Last_Top_Stock_Price_Date
0,990,KOSPI,DB하이텍,반도체 제조업,반도체 제조,1975-12-12,12월,최창식,http://www.dbhitek.co.kr,경기도,2022-08-12,44408178.0,435741782862.0,213196901576.0,274177753374.0,160944371349.0,160944371349.0,48.93,62.92,36.94,395024842725.0,181544900393.0,93254113025.0,158684674713.0,158684674713.0,45.96,23.61,40.17,14496.0,274650520717.0,81389693573.0,121884638736.0,59042973323.0,59042973323.0,29.63,44.38,21.5,243736208590.0,60590744587.0,50998531347.0,47810548964.0,47810548964.0,24.86,20.92,19.62,5316.0,1214682040178.0,399106778303.0,393129114790.0,316891852008.0,7135.0,59715.0,24906.0,18.27,20.45,24.27,28.65,19.3,21.1,58.65317922007092,,44800,1989486374400,3.09,84900,15.97,11.9,4.75,256.72,89.51,2022-01-20,65.3,89.51,2022-01-20
4,69730,KOSPI,DSR제강,1차 철강 제조업,"와이어로프,각종 경강선,철선제품,PC강선,아연도 강연선 제조",2003-01-28,12월,홍하종,http://www.dsrcorp.com,전라남도,2022-08-12,14399088.0,65421029607.0,4370213046.0,7218091621.0,3778975386.0,0.0,6.68,11.03,5.78,60917992263.0,7093751065.0,1414302842.0,8370316388.0,0.0,11.64,2.32,13.74,1048.0,50930134254.0,-388456307.0,-3349134808.0,700474037.0,0.0,-0.76,-6.58,1.38,45845471055.0,-437543835.0,513633277.0,1351759937.0,0.0,-0.95,1.12,2.95,192.0,207142759596.0,4291637467.0,-13140394540.0,7620490221.0,529.0,22747.0,10683.0,3.07,3.15,4.61,4.95,7.439999999999999,12.59,28.45249784877977,,5360,77179111680,5.11,10750,55.99,20.32,3.43,160.73,100.56,2021-09-16,134.26,100.56,2021-09-16
7,7700,KOSPI,F&F홀딩스,기타 금융업,"스포츠웨어(골프웨어) 제조/도서출판(단행본,유아/아동전집류(아인슈타인시리즈),잡지)/이천고속도로휴게소/문구사무용품,수입의류 판매,소매",1984-10-04,12월,박의헌,http://www.fnfholdings.com,서울특별시,2022-08-16,39113363.0,371741621084.0,73954859405.0,146874703929.0,15841967005.0,53324382087.0,19.89,39.51,4.26,438218951041.0,136578277681.0,124396487465.0,28170737144.0,95169185323.0,31.17,28.39,6.43,1620.0,8816263417.0,423398708.0,124789809095.0,1800050487699.0,4191226473.0,4.8,1415.45,20417.39,8011589603.0,1390583663.0,84249778243.0,56511719844.0,2088643476.0,17.36,1051.6,705.37,184084.0,727126345365.0,223050455460.0,279947856820.0,1912061597858.0,48885.0,127450.0,59169.0,1.01,65.65,1.27,82.62,15.09,13.810000000000002,4116.543942722804,,19800,774444587400,12.22,51300,0.28,1.05,3.37,226.09,354.55,2021-05-20,158.61,159.09,2021-08-20
11,11200,KOSPI,HMM,해상 운송업,"정기,부정기,전용선,콘테이너선,자동차선,LNG선 해운",1995-10-05,12월,배재훈,http://www.hmm21.com,서울특별시,2022-08-10,489121783.0,5034034000000.0,2937080000000.0,6281082000000.0,2933022000000.0,0.0,58.34,124.77,58.26,4918670000000.0,3148609000000.0,3185430000000.0,3131708000000.0,0.0,64.01,64.76,63.67,23984.0,2906707000000.0,1388943000000.0,2389287000000.0,210498000000.0,0.0,47.78,82.2,7.24,2428039000000.0,1019289000000.0,1113921000000.0,154072000000.0,0.0,41.98,45.88,6.35,1720.0,13794148000000.0,7377522000000.0,7505033000000.0,5337056000000.0,10911.0,62779.0,21177.0,25.17,29.86,38.2,51.52,10.560000000000002,22.03000000000001,73.18683995325294,,24950,12203588485850,1.04,42000,24.42,3.85,4.41,1325.35,102.81,2021-05-27,70.07,68.34,2021-09-01
15,8260,KOSPI,NI스틸,1차 철강 제조업,"스틸파이프,철강재임가공 제조,도매",1975-06-28,12월,배종민,http://www.hcr4u.com,서울특별시,2022-08-16,28593553.0,84753535439.0,15246909795.0,0.0,10895240957.0,0.0,17.99,0.0,12.86,78215012187.0,15084327029.0,0.0,11225080933.0,0.0,19.29,0.0,14.35,1524.0,63604681880.0,7309273540.0,0.0,5283792390.0,0.0,11.49,0.0,8.31,48740720134.0,6080993827.0,0.0,4379340116.0,0.0,12.48,0.0,8.98,736.0,248212749463.0,31201431595.0,0.0,22054807252.0,771.0,10915.0,4961.0,5.99,6.47,13.96,15.55,6.499999999999998,6.809999999999999,33.25046668561374,,4940,141252151820,3.24,6060,8.23,7.86,3.28,206.19,30.16,2021-05-11,70.08,22.67,2022-04-26
19,4060,KOSPI,SG세계물산,상품 종합 도매업,"피복류,봉제품,P.E제품 수출입,도매,제조/조경사업",1976-04-19,12월,이의범,http://www.sgsegye.com,서울특별시,2022-08-16,202432562.0,40308734153.0,1363526037.0,-888648925.0,-52031404.0,0.0,3.38,-2.2,-0.13,39187531755.0,1126654889.0,299498492.0,296423069.0,0.0,2.88,0.76,0.76,0.0,33099847606.0,-1670905273.0,4549674035.0,54664095963.0,0.0,-5.05,13.75,165.15,29472813417.0,-1942009214.0,-996238585.0,-1064300273.0,0.0,-6.59,-3.38,-3.61,1080.0,135746679450.0,-4744474966.0,3369193475.0,46959184631.0,231.0,2410.0,1206.0,0.0,15.23,0.0,19.22,8.43,9.47,21.779213707598,,623,126115486126,0,921,0.85,3.99,1.3,88.02,81.38,2019-09-23,49.27,47.83,2022-01-06
22,9160,KOSPI,SIMPAC,특수 목적용 기계 제조업,"프레스,자동화장치,자동차부품 제조,도매",1989-07-29,12월,최진식,http://www.simpac.co.kr,인천광역시,2022-08-12,65428156.0,188878161524.0,40236287899.0,46570556277.0,31470551807.0,0.0,21.3,24.66,16.66,197012100101.0,49760729972.0,55207255390.0,39315015202.0,0.0,25.26,28.02,19.96,1920.0,142321191742.0,18377566050.0,12496591966.0,18962118438.0,0.0,12.91,8.78,13.32,97965365499.0,9422148336.0,1706272441.0,10998325306.0,0.0,9.62,1.74,11.23,1156.0,613012779571.0,106401536463.0,63747132643.0,90832862627.0,1388.0,18014.0,8355.0,6.69,10.06,10.66,16.62,8.39,15.640000000000002,32.712605348610715,,6790,444257179240,3.54,9470,8.19,6.82,5.9,292.95,39.47,2021-09-29,52.25,39.47,2021-09-29
26,660,KOSPI,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",1996-12-26,12월,"박정호, 이석희 (각자대표)",http://www.skhynix.com,경기도,2022-08-16,728080089.0,13811001000000.0,4192617000000.0,9714893000000.0,2871539000000.0,0.0,30.36,70.34,20.79,12155653000000.0,2859615000000.0,5141228000000.0,1978844000000.0,0.0,23.52,42.29,16.28,15772.0,10321671000000.0,2694574000000.0,7756735000000.0,1984515000000.0,0.0,26.11,75.15,19.23,8494188000000.0,1324421000000.0,3206762000000.0,1266663000000.0,0.0,15.59,37.75,14.91,10900.0,42997792000000.0,12410340000000.0,19797648000000.0,9602316000000.0,13188.0,178769.0,85417.0,5.64,9.96,8.82,15.44,4.25,7.93,33.80586341106977,,96700,70405344606300,6.13,133000,12.2,10.08,4.06,81.1,53.57,2021-02-25,36.45,37.54,2022-02-17
30,2900,KOSPI,TYM,특수 목적용 기계 제조업,"농기계,연초용필터,금속제양식기,철강압연 제조,도매,수출입/신문서적 수출입,판매",1973-06-26,12월,"김희용, 김도훈",http://tym.world,서울특별시,2022-08-16,152331105.0,390190720576.0,56745441189.0,-8146992418.0,46743542941.0,0.0,14.54,-2.09,11.98,300524991114.0,36295428709.0,-40414484894.0,31554193080.0,0.0,12.08,-13.45,10.5,1224.0,246643564772.0,24234504380.0,48320183007.0,16186501201.0,0.0,9.83,19.59,6.56,215184262956.0,12793537498.0,25213711575.0,11942592621.0,0.0,5.95,11.72,5.55,424.0,841455916467.0,35264240176.0,36552742168.0,39502410981.0,259.0,3989.0,1635.0,10.96,5.58,30.68,15.85,4.709999999999999,6.13,58.20024371472922,,2435,370926240675,1.99,3615,8.53,13.96,1.36,262.95,48.46,2022-05-13,114.29,48.46,2022-05-13
34,35250,KOSPI,강원랜드,유원지 및 기타 오락관련 서비스업,"카지노,관광호텔,골프장,스키장,체육시설 운영",2003-09-04,12월,"Lee, Sam-Geol",http://kangwonland.high1.com,강원도,2022-08-16,213917248.0,311520185082.0,69946649680.0,74130431907.0,37548353343.0,0.0,22.45,23.8,12.05,226850860538.0,10529008096.0,2178121035.0,-5844889066.0,0.0,4.64,0.96,-2.58,700.0,203614782942.0,2701682590.0,16834399780.0,20909215332.0,0.0,1.33,8.27,10.27,97434543660.0,-59617839359.0,-54899359538.0,-40887320725.0,0.0,-61.19,-56.34,-41.96,388.0,788432829925.0,-52695285784.0,210874268539.0,-10567438936.0,-49.0,30524.0,15205.0,1.97,-0.28,2.29,-0.32,21.12,65.83,52.99487619753867,,25900,5540456723200,37.0,29400,75.77,-600.0,1.42,39.52,23.36,2019-11-01,19.82,13.51,2021-10-05
