,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2020_9,Quarter_Operating_Profit2020_9,Quarter_Cashflow2020_9,Quarter_Earn2020_9,Quarter_Continue_Earn2020_9,Quarter_Percent_Operating_Profit2020_9,Quarter_Percent_Cashflow2020_9,Quarter_Percent_Earn2020_9,Quarter_Revenue2020_6,Quarter_Operating_Profit2020_6,Quarter_Cashflow2020_6,Quarter_Earn2020_6,Quarter_Continue_Earn2020_6,Quarter_Percent_Operating_Profit2020_6,Quarter_Percent_Cashflow2020_6,Quarter_Percent_Earn2020_6,Quarter_Full_EPS,Last_Revenue2019_9,Last_Operating_Profit2019_9,Last_Cashflow2019_9,Last_Earn2019_9,Last_Continue_Earn2019_9,Last_Percent_Operating_Profit2019_9,Last_Percent_Cashflow2019_9,Last_Percent_Earn2019_9,Last_Revenue2019_6,Last_Operating_Profit2019_6,Last_Cashflow2019_6,Last_Earn2019_6,Last_Continue_Earn2019_6,Last_Percent_Operating_Profit2019_6,Last_Percent_Cashflow2019_6,Last_Percent_Earn2019_6,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE,Operating_Profit_Change_Now,Operating_Profit_Change_Before,Revenue_Change_Now,Revenue_Change_Before
0,12630,KOSPI,HDC,기타 금융업,"토목공사,건축공사,아파트분양사업,재개발/재건축사업",1996-10-16,12월,"정몽규, 유병규",http://www.i-park.com,서울특별시,2020-11-16,1104349232203.0,160001460312.0,111252341348.0,-33701183056.0,0.0,14.49,10.07,-3.05,1235323486963.0,176738061023.0,-282541462727.0,58776214991.0,0.0,14.31,-22.87,4.76,-2256.0,385727269038.0,32766770969.0,103855556963.0,79651948942.0,0.0,8.49,26.92,20.65,422094779460.0,38849954441.0,67695926498.0,74681067076.0,0.0,9.2,16.04,17.69,5332.0,1616692249290.0,128121494512.0,170017140133.0,256577074348.0,4294.0,142479.0,39355.0,-0.72,6.1,-1.58,10.91,6.0,5.110000000000001,186.3031268069888,
1,660,KOSPI,SK하이닉스,반도체 제조업,"반도체,컴퓨터,통신기기 제조,도매",1996-12-26,12월,"박정호, 이석희 (각자대표)",http://www.skhynix.com,경기도,2020-11-16,8128767000000.0,1299696000000.0,9052744000000.0,1077262000000.0,0.0,15.99,111.37,13.25,8606534000000.0,1946715000000.0,5686029000000.0,1262890000000.0,0.0,22.62,66.07,14.67,5916.0,6838766000000.0,472561000000.0,3899615000000.0,493201000000.0,0.0,6.91,57.02,7.21,6452201000000.0,637630000000.0,1402561000000.0,535529000000.0,0.0,9.88,21.74,8.3,2708.0,26990733000000.0,2712718000000.0,6483188000000.0,2013288000000.0,2765.0,137232.0,65858.0,3.11,3.11,4.31,4.2,9.08,12.74,18.863066816440277,
2,9140,KOSPI,경인전자,전자부품 제조업,"스위치,리모콘,배선기구,섬머스타트,게임기,전자부품 제조,판매",1989-06-20,12월,김성은,http://www.kie.co.kr,서울특별시,2020-11-13,7368595942.0,804181004.0,-1332678160.0,937506154.0,0.0,10.91,-18.09,12.72,7171576709.0,487116199.0,-657405931.0,802031379.0,0.0,6.79,-9.17,11.18,2384.0,4000087640.0,-264537558.0,486614459.0,144167223.0,0.0,-6.61,12.17,3.6,3248406585.0,-398221767.0,61811380.0,-37609098.0,0.0,-12.26,1.9,-1.16,364.0,13310900398.0,-1611640664.0,395538778.0,243035558.0,154.0,71209.0,34675.0,3.11,0.43,3.35,0.45,17.52,19.05,84.21086249000285,
3,5320,KOSPI,국동,생활용품 도매업,"셔츠,스웨터,파자마(섬유제품) 제조,판매,수출/부동산 임대",1996-12-24,12월,오창규,http://www.kd.co.kr,서울특별시,2020-11-13,78511611617.0,11713179893.0,35157631785.0,5981227308.0,0.0,14.92,44.78,7.62,84036737113.0,26107694355.0,-9647263804.0,18822352857.0,0.0,31.07,-11.48,22.4,440.0,65027959638.0,-7835279728.0,14258461382.0,-5354308608.0,0.0,-12.05,21.93,-8.23,57388597362.0,2465207523.0,4204103748.0,1896975923.0,0.0,4.3,7.33,3.31,-392.0,223077182701.0,-4238395476.0,3901005472.0,-3971437934.0,-73.0,3626.0,1190.0,5.67,-2.98,12.13,-6.16,26.97,26.77,20.735160774013643,
4,23590,KOSPI,다우기술,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","인터넷솔루션 개발,도매,IT컨설팅,시스템 설계,자문,인터넷관련서비스/부동산분양,개발,임대",1997-08-27,12월,김윤덕,http://www.daou.co.kr,경기도,2020-11-16,1224731540234.0,368540080638.0,-942079396062.0,122607677969.0,274069422636.0,30.09,-76.92,10.01,888007233294.0,325917316589.0,-464502608864.0,91886777320.0,219546171031.0,36.7,-52.31,10.35,10928.0,725207312102.0,98678660687.0,-888644330580.0,33892235276.0,70929532973.0,13.61,-122.54,4.67,682064863003.0,74669280938.0,-951911945044.0,30456558892.0,60526287971.0,10.95,-139.56,4.47,3020.0,2901833125630.0,507538852790.0,-2947197122174.0,185320075859.0,4130.0,129638.0,59374.0,0.73,0.75,8.43,6.96,16.48,25.750000000000004,68.88019739957369,
5,4830,KOSPI,덕성,플라스틱제품 제조업,"플라스틱레쟈,합성수지,합성피혁 제조,도매",1987-09-25,12월,이봉근,http://www.duksung21.com,경기도,2020-11-16,37536630577.0,2495460184.0,4181912030.0,1863862463.0,0.0,6.65,11.14,4.97,23926306778.0,500496045.0,324528926.0,277701957.0,0.0,2.09,1.36,1.16,472.0,22924819640.0,99715959.0,960988734.0,209996309.0,0.0,0.43,4.19,0.92,18758461457.0,-671651542.0,3015875064.0,-481778990.0,0.0,-3.58,16.08,-2.57,52.0,86726846761.0,470298245.0,2281579573.0,184844557.0,11.0,8350.0,4016.0,3.31,0.18,5.65,0.29,6.220000000000001,5.67,63.73795373946942,
6,3160,KOSPI,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",1996-07-31,12월,"박원호, 장일선",http://www.di.co.kr,서울특별시,2020-11-16,55946155247.0,5706426754.0,8828006415.0,2754458699.0,0.0,10.2,15.78,4.92,48150037788.0,6200367961.0,-6705697423.0,7629272019.0,0.0,12.88,-13.93,15.84,348.0,39387641058.0,2160021266.0,-13321170129.0,1844514075.0,0.0,5.48,-33.82,4.68,17359807199.0,-3515719529.0,-13960897122.0,-2416611438.0,0.0,-20.25,-80.42,-13.92,232.0,109539464715.0,-6535241328.0,-13009196025.0,647407415.0,20.0,8825.0,4517.0,2.34,0.3,3.94,0.46,4.719999999999999,33.13,42.03987277282454,
7,7540,KOSPI,샘표,기타 금융업,"간장,된장,고추장 제조,가공,판매,무역",1976-06-29,12월,박진선,http://www.sempio.com,서울특별시,2020-11-16,86501954429.0,15909741326.0,34194673270.0,6083040819.0,0.0,18.39,39.53,7.03,78925038784.0,15311392398.0,22804441311.0,7113179456.0,0.0,19.4,28.89,9.01,8460.0,73611968608.0,10186697475.0,27577991722.0,3880194882.0,0.0,13.84,37.46,5.27,69111811625.0,9734953584.0,10696969992.0,4376152872.0,0.0,14.09,15.48,6.33,5396.0,281023046262.0,29530642938.0,41024120185.0,12065351127.0,4195.0,196612.0,89155.0,3.38,3.56,4.3,4.71,4.550000000000001,5.309999999999999,17.510720151558537,
8,7610,KOSPI,선도전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","수배전반,중전기기 제조,도매/전기공사",1989-11-30,12월,"전동준, 남삼우(각자 대표이사)",http://www.seondo.co.kr,경기도,2020-11-13,19989594517.0,1707258861.0,-1701018272.0,1767827013.0,0.0,8.54,-8.51,8.84,28342309043.0,3058981040.0,-7049143369.0,3880023370.0,0.0,10.79,-24.87,13.69,392.0,14314772046.0,-1708661257.0,4397576787.0,-1964038930.0,0.0,-11.94,30.72,-13.72,23999692896.0,-226206404.0,1972265893.0,-216017025.0,0.0,-0.94,8.22,-0.9,-436.0,89348990459.0,-1673026428.0,-886559841.0,-2142324658.0,-118.0,9440.0,4805.0,2.05,-1.28,4.15,-2.48,20.479999999999997,11.729999999999999,39.64312147454507,
9,180,KOSPI,성창기업지주,회사 본부 및 경영 컨설팅 서비스업,"합판, 마루, 파티클보드, 우드칩, 포르말린 등 제조",1976-06-02,12월,우인석,http://www.sce.kr,부산광역시,2020-11-16,40683920480.0,1900185506.0,14719463983.0,1989940113.0,2165306547.0,4.67,36.18,4.89,42271643963.0,1610770003.0,8697227137.0,1732151793.0,1900645624.0,3.81,20.57,4.1,112.0,36807581680.0,-1164208702.0,4273139518.0,-1562842084.0,-1362401615.0,-3.16,11.61,-4.25,37548217056.0,-1465124401.0,-1999048353.0,-4386325910.0,-1656072020.0,-3.9,-5.32,-11.68,-88.0,151041606849.0,-2951399189.0,8739061531.0,-10875066038.0,-155.0,15213.0,7532.0,0.55,-1.55,0.74,-2.07,7.83,7.71,10.531359635904229,
10,10780,KOSPI,아이에스동서,"내화, 비내화 요업제품 제조업","타일,위생도기,콘크리트파일,P.C관,침목 제조,도매",1986-01-27,12월,"허석헌, 정원호, 김갑진(각자 대표이사)",http://www.isdongseo.co.kr,서울특별시,2020-11-16,339390498092.0,71178826630.0,-117996499682.0,83620742301.0,0.0,20.97,-34.77,24.64,314169036203.0,56120099152.0,130701723648.0,19234078593.0,0.0,17.86,41.6,6.12,10828.0,199477517256.0,26356990043.0,21565149317.0,13890025654.0,0.0,13.21,10.81,6.96,150906869924.0,963610068.0,46173338316.0,16649275376.0,0.0,0.64,30.6,11.03,1796.0,964111879557.0,66240705036.0,-117157545529.0,66056642844.0,2138.0,85413.0,41229.0,5.19,2.29,12.68,5.19,7.759999999999998,17.22,70.13972439633,
