,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2021_9,Quarter_Operating_Profit2021_9,Quarter_Cashflow2021_9,Quarter_Earn2021_9,Quarter_Continue_Earn2021_9,Quarter_Percent_Operating_Profit2021_9,Quarter_Percent_Cashflow2021_9,Quarter_Percent_Earn2021_9,Quarter_Revenue2021_6,Quarter_Operating_Profit2021_6,Quarter_Cashflow2021_6,Quarter_Earn2021_6,Quarter_Continue_Earn2021_6,Quarter_Percent_Operating_Profit2021_6,Quarter_Percent_Cashflow2021_6,Quarter_Percent_Earn2021_6,Quarter_Full_EPS,Last_Revenue2020_9,Last_Operating_Profit2020_9,Last_Cashflow2020_9,Last_Earn2020_9,Last_Continue_Earn2020_9,Last_Percent_Operating_Profit2020_9,Last_Percent_Cashflow2020_9,Last_Percent_Earn2020_9,Last_Revenue2020_6,Last_Operating_Profit2020_6,Last_Cashflow2020_6,Last_Earn2020_6,Last_Continue_Earn2020_6,Last_Percent_Operating_Profit2020_6,Last_Percent_Cashflow2020_6,Last_Percent_Earn2020_6,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE
0,60310,KOSDAQ,3S,전자부품 제조업,반도체 웨이퍼 캐리어,2002-04-23,03월,"박종익, 김세완 (각자 대표이사)",http://www.3sref.com,서울특별시,2022-02-10,6642030087.0,965504290.0,4568417303.0,1053488093.0,0.0,14.54,68.78,15.86,7644208574.0,1338141374.0,-317040239.0,1295486013.0,0.0,17.51,-4.15,16.95,92.0,8764498346.0,137258073.0,-201219534.0,194700019.0,0.0,1.57,-2.3,2.22,6705135143.0,-453931676.0,-1612113294.0,-714274255.0,0.0,-6.77,-24.04,-10.65,16.0,22592015218.0,467181073.0,1188555065.0,-1080358319.0,-23.0,1709.0,729.0,3.32,-2.18,5.38,-3.24
1,54620,KOSDAQ,APS홀딩스,기타 금융업,인터넷 트래픽 솔루션,2001-12-04,12월,정기로,http://www.apsholdings.co.kr,경기도,2021-11-15,7692225508.0,-1067474235.0,567837330.0,5502979662.0,6062061576.0,-13.88,7.38,71.54,6496221559.0,-1519163744.0,1145673823.0,608012532.0,1014064006.0,-23.39,17.64,9.36,1076.0,5546334436.0,-3441501694.0,-3223438900.0,5422948168.0,5353155798.0,-62.05,-58.12,97.78,6056760679.0,-2875523835.0,-2514410925.0,-5269573136.0,-5497724133.0,-47.48,-41.51,-87.0,1060.0,25345952537.0,-10877059034.0,-8405977345.0,-46872920717.0,-2298.0,16849.0,8167.0,3.86,-17.03,6.39,-28.14
2,265520,KOSDAQ,AP시스템,특수 목적용 기계 제조업,디스플레이 제조 장비,2017-04-07,12월,김영주,http://www.apsystems.co.kr,경기도,2021-11-15,96038455303.0,16075283297.0,33189082140.0,17570000718.0,0.0,16.74,34.56,18.29,145798523625.0,16274752025.0,59119231113.0,11321929497.0,0.0,11.16,40.55,7.77,4596.0,163603340915.0,17070054688.0,49303639339.0,11427435667.0,0.0,10.43,30.14,6.98,128512636355.0,8813567840.0,6717033145.0,4662415398.0,0.0,6.86,5.23,3.63,2988.0,591795352612.0,46277808090.0,63603566505.0,24951026992.0,1632.0,22149.0,9041.0,8.48,6.72,20.75,18.06
3,211270,KOSDAQ,AP위성,통신 및 방송 장비 제조업,위성통신 단말기,2016-03-04,12월,류장수,http://www.apsi.co.kr,서울특별시,2022-03-18,4674243838.0,-763745105.0,-1038882384.0,702083258.0,0.0,-16.34,-22.23,15.02,5768794042.0,-724787064.0,482113838.0,-688780264.0,0.0,-12.56,8.36,-11.94,184.0,7536818534.0,102347181.0,11225775152.0,-47931179.0,0.0,1.36,148.95,-0.64,11036099824.0,224503240.0,3228478547.0,2495538.0,0.0,2.03,29.25,0.02,-12.0,45379281619.0,4376442736.0,15507478599.0,-1361421642.0,-90.0,10533.0,5292.0,1.23,-1.21,1.75,-1.7
4,35760,KOSDAQ,CJ ENM,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타",1999-11-23,12월,"Minho Hou, Ho Sung Kang",http://www.cjmall.com,서울특별시,2021-11-15,857538906969.0,87820812566.0,604125765883.0,66868898488.0,0.0,10.24,70.45,7.8,907916796942.0,85801986621.0,404037184052.0,31864975688.0,0.0,9.45,44.5,3.51,12196.0,798620132304.0,71049057636.0,305018733141.0,28622777060.0,0.0,8.9,38.19,3.58,837526668341.0,73380361203.0,195218051115.0,33917071890.0,0.0,8.76,23.31,4.05,5220.0,3391184002869.0,272067865192.0,566412764825.0,56926322621.0,2595.0,374575.0,172594.0,1.96,0.91,3.26,1.5
5,51500,KOSDAQ,CJ프레시웨이,음·식료품 및 담배 도매업,"식자재유통, 단체급식",2001-07-26,12월,정성필,http://www.cjfreshway.com,경기도,2022-03-18,562932512260.0,16382751881.0,111268807407.0,17356131929.0,0.0,2.91,19.77,3.08,575712241085.0,19057041580.0,113498764775.0,13166066275.0,0.0,3.31,19.71,2.29,5848.0,651314105433.0,11823076246.0,67629720292.0,-4228958778.0,0.0,1.82,10.38,-0.65,624467603472.0,2708192672.0,379615385.0,-2690851574.0,0.0,0.43,0.06,-0.43,-1424.0,2478528727709.0,-3545694413.0,126251239674.0,-42517696613.0,-3581.0,48711.0,24114.0,3.08,-3.79,12.01,-14.85
6,58820,KOSDAQ,CMG제약,의약품 제조업,의약품,2001-08-31,12월,이주형,http://www.cmgpharma.co.kr,서울특별시,2022-03-17,18510847798.0,1062257904.0,5571262147.0,1763119347.0,1763119347.0,5.74,30.1,9.52,17319005713.0,559601434.0,3471978374.0,-67279139.0,-67279139.0,3.23,20.05,-0.39,48.0,17108427333.0,653604910.0,7788887820.0,569408432.0,569408432.0,3.82,45.53,3.33,15945189411.0,450376676.0,2921595784.0,885005867.0,885005867.0,2.82,18.32,5.55,16.0,64459891270.0,1822364992.0,2944288629.0,214996493.0,1.0,2643.0,1304.0,1.69,0.11,1.82,0.12
7,56000,KOSDAQ,COWON,소프트웨어 개발 및 공급업,모바일게임,2003-07-11,12월,이승훈,http://www.nesm.co.kr,서울특별시,2021-11-15,1682604823.0,-1263037927.0,-23802385918.0,-1191718694.0,0.0,-75.06,-1414.62,-70.83,1523751227.0,-1848006706.0,-23141324405.0,-1703264428.0,0.0,-121.28,-1518.71,-111.78,-240.0,8370467990.0,-207163050.0,-509638257.0,-99418623.0,0.0,-2.47,-6.09,-1.19,4345736168.0,-233185115.0,335729525.0,-164006406.0,0.0,-5.37,7.73,-3.77,-20.0,17509559484.0,352752492.0,-12856700565.0,297627037.0,15.0,2513.0,1438.0,-7.42,0.55,-9.55,1.05
8,65770,KOSDAQ,CS,통신 및 방송 장비 제조업,"이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)",2004-06-04,12월,최규훈,http://www.cs-holdings.co.kr,경기도,2022-03-17,9527539028.0,523447557.0,-1622660417.0,-217569210.0,0.0,5.49,-17.03,-2.28,10446791901.0,-287848146.0,-81771075.0,-216224956.0,0.0,-2.76,-0.78,-2.07,-44.0,10768558860.0,278765842.0,1463092710.0,332636856.0,0.0,2.59,13.59,3.09,12668000286.0,202013326.0,-723874581.0,244134866.0,0.0,1.59,-5.71,1.93,68.0,42958085137.0,364597144.0,1336687073.0,178546528.0,9.0,2409.0,1135.0,-1.18,0.63,-1.83,0.81
9,83660,KOSDAQ,CSA 코스믹,기타 화학제품 제조업,"물탱크,상하수도용도류벽,축산탱크",2006-07-25,12월,조성아,http://www.gentro.co.kr,서울특별시,2022-03-17,11045162007.0,-841476072.0,-2185122985.0,-2166894527.0,0.0,-7.62,-19.78,-19.62,11359486952.0,-53721256.0,-1936221969.0,-110859346.0,0.0,-0.47,-17.04,-0.98,-220.0,13791869930.0,-416377003.0,-3221842264.0,-1435111485.0,0.0,-3.02,-23.36,-10.41,18558520712.0,1740872486.0,1553104453.0,1630187768.0,0.0,9.38,8.37,8.78,-144.0,58308778550.0,-787279044.0,-3703110851.0,-14527199537.0,-370.0,463.0,295.0,-12.76,-41.64,-47.43,-125.22
