,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2018_3,Quarter_Operating_Profit2018_3,Quarter_Cashflow2018_3,Quarter_Earn2018_3,Quarter_Continue_Earn2018_3,Quarter_Percent_Operating_Profit2018_3,Quarter_Percent_Cashflow2018_3,Quarter_Percent_Earn2018_3,Quarter_Revenue2017_12,Quarter_Operating_Profit2017_12,Quarter_Cashflow2017_12,Quarter_Earn2017_12,Quarter_Continue_Earn2017_12,Quarter_Percent_Operating_Profit2017_12,Quarter_Percent_Cashflow2017_12,Quarter_Percent_Earn2017_12,Quarter_Full_EPS,Last_Revenue2017_3,Last_Operating_Profit2017_3,Last_Cashflow2017_3,Last_Earn2017_3,Last_Continue_Earn2017_3,Last_Percent_Operating_Profit2017_3,Last_Percent_Cashflow2017_3,Last_Percent_Earn2017_3,Last_Revenue2016_12,Last_Operating_Profit2016_12,Last_Cashflow2016_12,Last_Earn2016_12,Last_Continue_Earn2016_12,Last_Percent_Operating_Profit2016_12,Last_Percent_Cashflow2016_12,Last_Percent_Earn2016_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE
0,95570,KOSPI,AJ네트웍스,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",2015-08-21,12월,박대현,http://www.ajnet.co.kr,서울특별시,2018-05-15,403786577667.0,13986434145.0,-23469830203.0,9982225625.0,0.0,3.46,-5.81,2.47,370303381525.0,14593218388.0,-8093847834.0,-5295843427.0,0.0,3.94,-2.19,-1.43,852.0,351523189411.0,21827395587.0,-27748160657.0,5133103741.0,0.0,6.21,-7.89,1.46,334489955417.0,12369740711.0,-5708759268.0,487200582.0,0.0,3.7,-1.71,0.15,436.0,1431015800850.0,77221587340.0,-148475141851.0,14998783601.0,320.0,9710.0,9550.0,1.58,0.64,8.77,3.35
1,6840,KOSPI,AK홀딩스,기타 금융업,지주사업,1999-08-11,12월,"채형석, 이석주(각자 대표이사)",http://www.aekyunggroup.co.kr,서울특별시,2018-05-15,916581626996.0,97492598230.0,87092804426.0,70614284027.0,0.0,10.64,9.5,7.7,910651828911.0,55942037393.0,127705005055.0,26130010299.0,0.0,6.14,14.02,2.87,21312.0,820740707452.0,66723415561.0,28746815511.0,43407295013.0,0.0,8.13,3.5,5.29,787565671300.0,44896723153.0,185421108254.0,14790881151.0,0.0,5.7,23.54,1.88,13100.0,3392454610505.0,265641267071.0,280933528090.0,185414017343.0,13992.0,102071.0,86941.0,8.82,6.3,20.88,16.09
2,27410,KOSPI,BGF,기타 금융업,지주회사,2014-05-19,12월,홍정국,http://www.bgf.co.kr,서울특별시,2018-05-15,42975651931.0,562663438.0,2234924647.0,14483329573.0,14483329573.0,1.31,5.2,33.7,41859012526.0,3416712786.0,59894262418.0,3310744666607.0,-43210732777.0,8.16,143.09,7909.28,604.0,24831372555.0,709955.0,55631081290.0,32135828753.0,-69328512.0,0.0,224.04,129.42,20759418908.0,2448441124.0,13606001270.0,45159557379.0,-25764352501.0,11.79,65.54,217.54,1340.0,123842619339.0,10447735458.0,384116106715.0,3497647213475.0,36539.0,50270.0,7576.0,20.55,407.59,1.2,482.28
3,1460,KOSPI,BYC,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",1975-06-02,12월,김 대 환,http://home.byc.co.kr,서울특별시,2018-05-15,49783600612.0,3473265612.0,15489462041.0,6398366909.0,0.0,6.98,31.11,12.85,56018402295.0,4143047603.0,15600444949.0,-18028308.0,-6216324825.0,7.4,27.85,-0.03,118896.0,46036699089.0,5387959264.0,544639688.0,2702958000.0,0.0,11.7,1.18,5.87,53894919509.0,4746426672.0,17443933067.0,7649727751.0,-8951912608.0,8.81,32.37,14.19,50228.0,195815807700.0,17207998300.0,23542700435.0,6198296517.0,28795.0,1885199.0,1855195.0,3.37,0.83,6.31,1.55
4,1040,KOSPI,CJ,기타 금융업,지주회사,1973-06-29,12월,"손경식, 김홍기",http://www.cj.net,서울특별시,2018-05-15,6974159438000.0,341537892000.0,336687841000.0,190662466000.0,0.0,4.9,4.83,2.73,6978877832000.0,264733543000.0,902817483000.0,-660026223000.0,0.0,3.79,12.94,-9.46,26140.0,6349714131000.0,331729472000.0,346149760000.0,60987008000.0,0.0,5.22,5.45,0.96,6280587165000.0,190624600000.0,769402200000.0,-19679146000.0,0.0,3.04,12.25,-0.31,8360.0,26898599989000.0,1325955339000.0,2240404302000.0,463698379000.0,15893.0,422628.0,411038.0,2.54,1.58,6.19,3.87
5,79160,KOSPI,CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",2004-12-24,12월,허민회,http://www.cgv.co.kr,서울특별시,2018-05-15,441179496219.0,19175702246.0,26200712563.0,2885311899.0,0.0,4.35,5.94,0.65,454067093253.0,42603884184.0,96858379972.0,-21687002921.0,0.0,9.38,21.33,-4.78,304.0,405518421328.0,14580489111.0,14187390830.0,-4387682213.0,0.0,3.6,3.5,-1.08,381243026969.0,17802038090.0,73452242288.0,-12788171408.0,0.0,4.67,19.27,-3.35,-460.0,1714387173382.0,86242893480.0,194342876963.0,-1402536047.0,-37.0,17139.0,20540.0,0.48,-0.06,1.77,-0.18
6,120,KOSPI,CJ대한통운,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",1956-07-02,12월,강신호,http://www.cjlogistics.com,서울특별시,2018-05-15,2001464084617.0,45309840533.0,-16177234818.0,34847195836.0,34847195836.0,2.26,-0.81,1.74,1934427780093.0,60031965819.0,72010358060.0,-8280331541.0,-875842708.0,3.1,3.72,-0.43,6108.0,1594922919093.0,51139097619.0,88482554935.0,3756620117.0,4433013117.0,3.21,5.55,0.24,1632866576893.0,55238879076.0,76118375778.0,9534896500.0,-16433498580.0,3.38,4.66,0.58,656.0,7110391207800.0,235651420434.0,246413341230.0,31483355602.0,1379.0,129201.0,121973.0,1.93,0.5,4.73,1.13
7,11150,KOSPI,CJ씨푸드,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",1988-11-26,12월,"이인덕, 오재석(각자대표)",http://www.cjseafood.net,경기도,2018-05-15,38216055861.0,1557788352.0,-4811672371.0,717543113.0,0.0,4.08,-12.59,1.88,39424648477.0,2503722836.0,6134989576.0,1896343126.0,0.0,6.35,15.56,4.81,76.0,43703169318.0,1927661128.0,2217807098.0,1443250818.0,0.0,4.41,5.07,3.3,46301277468.0,2732239390.0,-582059114.0,1611281286.0,0.0,5.9,-1.26,3.48,156.0,164629714604.0,6558691988.0,15614970639.0,4590049356.0,127.0,1739.0,1662.0,2.15,3.82,4.37,7.64
8,97950,KOSPI,CJ제일제당,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28,12월,"손경식, 최은석 (각자 대표이사)",http://www.cj.co.kr,서울특별시,2018-05-15,4348588146000.0,210257123000.0,84591963000.0,72149886000.0,0.0,4.84,1.95,1.66,4291089837000.0,150389606000.0,419857072000.0,15151933000.0,0.0,3.5,9.78,0.35,17616.0,3866534180000.0,192480405000.0,133420717000.0,91020464000.0,0.0,4.98,3.45,2.35,3740591259000.0,156915678000.0,300665713000.0,15535013000.0,0.0,4.19,8.04,0.42,22224.0,16477174023000.0,776575241000.0,1180837049000.0,412797743000.0,25198.0,380035.0,375045.0,1.61,2.45,4.64,6.72
9,590,KOSPI,CS홀딩스,기타 금융업,"브랜드 수익, 자회사 배당",1975-12-22,12월,임규섭,http://www.chosunwelding.com,경상북도,2018-05-15,30158932705.0,3124463155.0,2468790988.0,3438384864.0,3438384864.0,10.36,8.19,11.4,27945447001.0,4142953246.0,6268637139.0,-3051177707.0,2844312623.0,14.83,22.43,-10.92,11912.0,32593661675.0,4572562513.0,4015760602.0,2166577853.0,3630084376.0,14.03,12.32,6.65,29389830623.0,4059533092.0,4010807034.0,1902991989.0,513174632.0,13.81,13.65,6.48,7504.0,120959821888.0,17036018175.0,16869197453.0,8369304855.0,7249.0,235274.0,233392.0,4.5,2.77,5.06,3.11
