,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Industy_Code,Industy_Name
0,060310,KOSDAQ,3S,전자부품 제조업,반도체 웨이퍼 캐리어,2002-04-23,03월,"박종익, 김세완 (각자 대표이사)",http://www.3sref.com,서울특별시,26000,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
1,054620,KOSDAQ,APS홀딩스,기타 금융업,인터넷 트래픽 솔루션,2001-12-04,12월,정기로,http://www.apsholdings.co.kr,경기도,64000,금융업
2,013720,KOSDAQ,CBI,자동차 신품 부품 제조업,엔진부품,1993-12-29,12월,오경원,http://www.cheongbo.co.kr,인천광역시,30000,자동차 및 트레일러 제조업
3,035760,KOSDAQ,CJ ENM,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타",1999-11-23,12월,"Minho Hou, Ho Sung Kang",http://www.cjmall.com,서울특별시,60000,방송업
4,051500,KOSDAQ,CJ프레시웨이,음·식료품 및 담배 도매업,"식자재유통, 단체급식",2001-07-26,12월,정성필,http://www.cjfreshway.com,경기도,46000,도매 및 상품중개업
5,058820,KOSDAQ,CMG제약,의약품 제조업,의약품,2001-08-31,12월,이주형,http://www.cmgpharma.co.kr,서울특별시,21000,의료용 물질 및 의약품 제조업
6,023460,KOSDAQ,CNH,신탁업 및 집합투자업,투자자문,1994-10-07,12월,"임영기,김양수(각자 대표이사)",http://www.cnhcap.co.kr,경기도,64000,금융업
7,056730,KOSDAQ,CNT85,기타 전문 도매업,산업설비 제조외,2002-01-04,12월,김경덕,http://www.cnt85.com,경기도,46000,도매 및 상품중개업
8,056000,KOSDAQ,COWON,소프트웨어 개발 및 공급업,모바일게임,2003-07-11,12월,이승훈,http://www.nesm.co.kr,서울특별시,58000,출판업
9,065770,KOSDAQ,CS,통신 및 방송 장비 제조업,"이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)",2004-06-04,12월,최규훈,http://www.cs-holdings.co.kr,경기도,26000,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
10,083660,KOSDAQ,CSA 코스믹,기타 화학제품 제조업,"물탱크,상하수도용도류벽,축산탱크",2006-07-25,12월,조성아,http://www.gentro.co.kr,서울특별시,20000,화학물질 및 화학제품 제조업;의약품 제외
11,068790,KOSDAQ,DMS,특수 목적용 기계 제조업,LCD 제조장비,2004-10-01,12월,박용석,http://www.dms21.co.kr,경기도,29000,기타 기계 및 장비 제조업
12,037370,KOSDAQ,EG,토목 건설업,"산화철, 대기수처리방지시설, 무역",2000-01-11,12월,박지만,http://www.egcorp.co.kr,충청남도,41000,종합 건설업
13,079190,KOSDAQ,EMW,통신 및 방송 장비 제조업,휴대폰안테나,2005-11-29,12월,"이승준, LLOYD YEONSU LEE (각자 대표이사)",http://emw.co.kr,인천광역시,26000,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
14,050120,KOSDAQ,ES큐브,생활용품 도매업,"텐트, 원 ·부자재",2002-04-25,12월,신희민,http://www.escube.co.kr,서울특별시,46000,도매 및 상품중개업
15,214270,KOSDAQ,FSN,소프트웨어 개발 및 공급업,카울리,2015-03-25,12월,"이상석, 서정교 (각자 대표이사)",http://fsn.co.kr,서울특별시,58000,출판업
16,130500,KOSDAQ,GH신소재,기타 섬유제품 제조업,"자동차용 부직포, 폴리우레탄 폼",2013-08-02,12월,우희구,http://www.ghglobal.co.kr,경상북도,13000,섬유제품 제조업; 의복제외
17,083450,KOSDAQ,GST,특수 목적용 기계 제조업,"GasScrubber,Chiller",2006-02-01,12월,"김덕준, 장광수(각자대표)",http://www.gst-in.com,경기도,29000,기타 기계 및 장비 제조업
18,045890,KOSDAQ,GV,전구 및 조명장치 제조업,"CNC전용장비,LightPanel",2005-11-28,12월,김정수,http://www.fawoo.co.kr,경기도,28000,전기장비 제조업
19,078150,KOSDAQ,HB테크놀러지,특수 목적용 기계 제조업,TFT-LCD검사장비,2004-12-08,12월,문성준,http://www.ncbnet.co.kr,충청남도,29000,기타 기계 및 장비 제조업
20,036640,KOSDAQ,HRS,합성고무 및 플라스틱 물질 제조업,실리콘 컴파운드제품 제조,2000-05-30,12월,김진성,http://www.hrssilicone.com,경기도,20000,화학물질 및 화학제품 제조업;의약품 제외
21,095340,KOSDAQ,ISC,전자부품 제조업,반도체테스트소켓,2007-10-01,12월,김정렬 (단독 대표이사),http://isc21.kr,경기도,26000,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
22,099520,KOSDAQ,ITX-AI,영상 및 음향기기 제조업,"DVR,유선통신기기 제조,무역/소프트웨어 자문,연구개발,기술용역",2009-12-22,12월,"박상열, 유건상 (각자 대표이사)",http://www.itxai.com,서울특별시,26000,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
23,067290,KOSDAQ,JW신약,의약품 제조업,"매니큐어세트, 손톱깎이",2003-02-11,12월,백승호,http://www.cwsy.co.kr,서울특별시,21000,의료용 물질 및 의약품 제조업
