,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue,Quarter_Operating_Profit,Quarter_Earn,Quarter_Earn_Per_Stock,Last_Revenue,Last_Operating_Profit,Last_Earn,Last_Earn_Per_Stock
0,60310,KOSDAQ,3S,전자부품 제조업,반도체 웨이퍼 캐리어,2002-04-23,03월,"박종익, 김세완 (각자 대표이사)",http://www.3sref.com,서울특별시,2021-08-13,5156613932,2113248344,2239645992,44,2578306966,1056624172,-1080358319,-24
1,54620,KOSDAQ,APS홀딩스,기타 금융업,인터넷 트래픽 솔루션,2001-12-04,12월,정기로,http://www.apsholdings.co.kr,경기도,2021-08-17,17016808830,-6956384510,3963571686,194,8508404415,-3478192255,-46308607986,-2284
2,265520,KOSDAQ,AP시스템,특수 목적용 기계 제조업,디스플레이 제조 장비,2017-04-07,12월,김영주,http://www.apsystems.co.kr,경기도,2021-08-10,337694877438,56938697430,50624206712,3526,23048438719,12194348715,24951026992,1738
3,211270,KOSDAQ,AP위성,통신 및 방송 장비 제조업,위성통신 단말기,2016-03-04,12월,류장수,http://www.apsi.co.kr,서울특별시,2021-08-17,2875962216,-3413160058,-1132379474,-78,1437981108,-1706580029,-1361421642,-95
4,32790,KOSDAQ,BNGT,기계장비 및 관련 물품 도매업,"Bio 이종장기 사업, ICT 프린터 현상기",1997-06-26,12월,조상환,http://www.mgenplus.com,서울특별시,2021-08-30,6273135196,-828076808,-966796548,-32,3136567598,-414038404,-6591115646,-227
5,13720,KOSDAQ,CBI,자동차 신품 부품 제조업,엔진부품,1993-12-29,12월,오경원,http://www.cheongbo.co.kr,인천광역시,2021-08-30,1850540644,-2702459836,-3871734020,-96,925270322,-1351229918,-3028248235,-375
6,35760,KOSDAQ,CJ ENM,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타",1999-11-23,12월,"Minho Hou, Ho Sung Kang",http://www.cjmall.com,서울특별시,2021-08-05,804828487088,187233648228,161990759428,7020,402414243544,93616824114,65629506717,2844
7,51500,KOSDAQ,CJ프레시웨이,음·식료품 및 담배 도매업,"식자재유통, 단체급식",2001-07-26,12월,정성필,http://www.cjfreshway.com,경기도,2021-08-11,1320361332398,44410026100,17473687294,1388,84468666199,3148013050,-42517696613,-3378
8,58820,KOSDAQ,CMG제약,의약품 제조업,의약품,2001-08-31,12월,이주형,http://www.cmgpharma.co.kr,서울특별시,2021-08-13,31984425974,1372096176,2450449202,18,15992212987,686048088,214996493,1
9,23460,KOSDAQ,CNH,신탁업 및 집합투자업,투자자문,1994-10-07,12월,"임영기,김양수(각자 대표이사)",http://www.cnhcap.co.kr,경기도,2021-08-17,385964097052,106103292114,81443262666,2336,192982048526,53051646057,29442437096,845
10,56730,KOSDAQ,CNT85,기타 전문 도매업,산업설비 제조외,2002-01-04,12월,박종승,http://www.cnt85.com,경기도,2021-08-17,3468766250,-1381691604,-3012115940,-42,1734383125,-690845802,-7601424837,-107
11,56000,KOSDAQ,COWON,소프트웨어 개발 및 공급업,모바일게임,2003-07-11,12월,이승훈,http://www.nesm.co.kr,서울특별시,2021-08-17,3349878520,-6101354310,-6006893472,-302,1674939260,-3050677155,296575517,14
12,65770,KOSDAQ,CS,통신 및 방송 장비 제조업,"이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)",2004-06-04,12월,최규훈,http://www.cs-holdings.co.kr,경기도,2021-08-13,4250775396,-878987374,-848691428,-42,2125387698,-439493687,178546528,9
13,83660,KOSDAQ,CSA 코스믹,기타 화학제품 제조업,"물탱크,상하수도용도류벽,축산탱크",2006-07-25,12월,조성아,http://www.gentro.co.kr,서울특별시,2021-08-17,20364236114,-4754587966,-4979707288,-140,10182118057,-2377293983,-14527199537,-408
14,68790,KOSDAQ,DMS,특수 목적용 기계 제조업,LCD 제조장비,2004-10-01,12월,박용석,http://www.dms21.co.kr,경기도,2021-08-17,69890919916,24517296788,36180580102,1418,34945459958,12258648394,40504829420,1588
15,241520,KOSDAQ,DSC인베스트먼트,신탁업 및 집합투자업,투자조합 결성 및 투자,2016-12-19,12월,윤건수,http://www.dscinvestment.com,서울특별시,,,,,,,,,
16,245620,KOSDAQ,EDGC,자연과학 및 공학 연구개발업,유전체 분석 진단 서비스,2018-06-26,12월,"각자대표이사 신상철, 이민섭",http://www.edgc.com,인천광역시,2021-08-13,8601001578,-14261992912,-671339446,-4,4300500789,-7130996456,-9433328400,-60
17,37370,KOSDAQ,EG,토목 건설업,"산화철, 대기수처리방지시설, 무역",2000-01-11,12월,박지만,http://www.egcorp.co.kr,충청남도,2021-08-17,20500682888,6139414386,3210350888,468,10250341444,3069707193,-6763709561,-988
18,79190,KOSDAQ,EMW,통신 및 방송 장비 제조업,휴대폰안테나,2005-11-29,12월,"이승준, LLOYD YEONSU LEE (각자 대표이사)",http://emw.co.kr,인천광역시,2021-08-12,6898496036,-2061094266,2132938500,68,3449248018,-1030547133,-6588465421,-211
19,50120,KOSDAQ,ES큐브,생활용품 도매업,"텐트, 원 ·부자재",2002-04-25,12월,신희민,http://www.escube.co.kr,서울특별시,2021-08-13,31441716874,18556944608,17404927102,1298,15720858437,9278472304,-25292139576,-1886
20,214270,KOSDAQ,FSN,소프트웨어 개발 및 공급업,카울리,2015-03-25,12월,"이상석, 서정교 (각자 대표이사)",http://fsn.co.kr,서울특별시,2021-08-17,201920453262,12282117500,7527426244,26,100960226631,6141058750,833347132,3
21,130500,KOSDAQ,GH신소재,기타 섬유제품 제조업,"자동차용 부직포, 폴리우레탄 폼",2013-08-02,12월,우희구,http://www.ghglobal.co.kr,경상북도,2021-08-17,6807370348,2083019218,912318872,82,3403685174,1041509609,51891560,4
22,83450,KOSDAQ,GST,특수 목적용 기계 제조업,"GasScrubber,Chiller",2006-02-01,12월,"김덕준, 장광수(각자대표)",http://www.gst-in.com,경기도,2021-08-13,108028600596,47221342822,39858352534,4270,54014300298,23610671411,15490968607,1659
23,78150,KOSDAQ,HB테크놀러지,특수 목적용 기계 제조업,TFT-LCD검사장비,2004-12-08,12월,문성준,http://www.ncbnet.co.kr,충청남도,2021-08-13,12337513742,-24335990624,-17608420252,-228,6168756871,-12167995312,826876756,10
24,36640,KOSDAQ,HRS,합성고무 및 플라스틱 물질 제조업,실리콘 컴파운드제품 제조,2000-05-30,12월,김진성,http://www.hrssilicone.com,경기도,2021-08-13,20888234688,13126219194,24124777644,1508,10444117344,6563109597,9210876152,576
25,95340,KOSDAQ,ISC,전자부품 제조업,반도체테스트소켓,2007-10-01,12월,"김정렬, 김상욱 (각자 대표이사)",http://isc21.kr,경기도,2021-08-17,58757107462,39839507168,34780335522,2456,29378553731,19919753584,5505283414,388
26,99520,KOSDAQ,ITX-AI,영상 및 음향기기 제조업,"DVR,유선통신기기 제조,무역/소프트웨어 자문,연구개발,기술용역",2009-12-22,12월,"박상열, 유건상 (각자 대표이사)",http://www.itxai.com,서울특별시,2021-08-17,7873656268,-3729950428,-6459920168,-210,3936828134,-1864975214,-3647914949,-119
27,950170,KOSDAQ,JTC,종합 소매업,"식품류, 생활용품류, 화장품류 (사후면세업)",2018-04-06,02월,구철모,http://www.groupjtc.com/korean/,일본,,,,,,,,,
28,67290,KOSDAQ,JW신약,의약품 제조업,"매니큐어세트, 손톱깎이",2003-02-11,12월,백승호,http://www.cwsy.co.kr,서울특별시,2021-08-17,45329420078,198674004,-1403585896,-32,22664710039,99337002,-6451174260,-150
29,35900,KOSDAQ,JYP Ent.,오디오물 출판 및 원판 녹음업,오디오물 출판 및 원판 녹음 관련 제품,2001-08-30,12월,정욱,http://www.jype.com,서울특별시,,,,,,,,,
30,24840,KOSDAQ,KBI메탈,1차 비철금속 제조업,"동ROD, 모터코어",1994-12-29,12월,박한상,http://www.kbimetal.co.kr,대구광역시,2021-08-17,26353421510,16614736268,-910680242,-26,13176710755,8307368134,2360290911,68
31,24120,KOSDAQ,KB오토시스,자동차 신품 부품 제조업,브레이크패드,1994-12-07,12월,김신완,http://www.kbautosys.com,충청남도,2021-08-17,10362941776,2126354690,4335265808,376,5181470888,1063177345,3317800278,288
32,21320,KOSDAQ,KCC건설,건물 건설업,"토목 건축공사, 분양공사",2001-08-21,12월,"정몽열,윤희영",http://www.kccworld.net,서울특별시,2021-08-17,121323070368,71314114108,71170208350,3574,60661535184,35657057054,37641374138,1890
33,36670,KOSDAQ,KCI,기타 화학제품 제조업,"폴리머,레진,계면활성제",2001-01-03,12월,이진용,http://www.kciltd.com,충청남도,2021-08-13,19842892042,6956957736,6344337434,588,9921446021,3478478868,10615160457,986
34,44180,KOSDAQ,KD,건물 건설업,건설사업(완성건물),2000-11-16,12월,안태일,http://kdcon.co.kr,경기도,2021-08-17,-998302752,-8840908006,2796798146,168,-499151376,-4420454003,-5012051907,-303
35,151860,KOSDAQ,KG ETS,폐기물 처리업,"집단에너지(스팀), 산화동, 폐기물 소각",2013-07-24,12월,엄기민,http://www.kgets.co.kr,경기도,2021-08-13,412981003238,315096404242,346326883820,-9200,206490501619,157548202121,26670326348,-708
36,46440,KOSDAQ,KG모빌리언스,소프트웨어 개발 및 공급업,유무선전화결제서비스,2004-12-14,12월,고규영,http://www.mobilians.co.kr,서울특별시,2021-08-02,207544190498,50731072804,19780179354,510,25575095249,12287536402,30348547210,782
37,35600,KOSDAQ,KG이니시스,소프트웨어 개발 및 공급업,전자지불서비스,2002-11-22,12월,유승용,http://www.inicis.com,서울특별시,2021-08-02,622127806280,107159907686,40886526412,1098,61504903140,26016953843,52980203486,1423
38,111870,KOSDAQ,KH 일렉트론,영상 및 음향기기 제조업,"이어폰,헤드폰,키패드",2010-11-05,12월,배보성,http://www.esambon.com,경기도,2021-08-17,5249956038,-5316728880,-43820796230,-374,2624978019,-2658364440,-57227605630,-490
39,60720,KOSDAQ,KH바텍,전자부품 제조업,"휴대폰부품(SHIELD, BRACKET)",2002-05-21,12월,남광희,http://www.khvatec.com,경상북도,2021-08-17,24899533938,3657464444,2287562316,92,12449766969,1828732222,-13364917102,-538
40,122450,KOSDAQ,KMH,텔레비전 방송업,방송채널사업 및 방송송출서비스,2011-05-25,12월,"한찬수, 이강봉(각자 대표이사)",http://www.ikmh.co.kr,서울특별시,2021-08-17,120314695872,65227508276,41514159152,928,60157347936,32613754138,38054214978,850
41,52900,KOSDAQ,KMH하이텍,플라스틱제품 제조업,TRAY(반도체Packing재료),2005-01-18,12월,이상국,http://www.kmhhitech.com,충청남도,2021-08-17,16261332186,5973775698,2892484816,60,8130666093,2986887849,1587255562,33
42,58400,KOSDAQ,KNN,텔레비전 방송업,방송프로그램 제작 및 송출,2010-11-03,12월,이오상,http://www.knn.co.kr,부산광역시,2021-08-17,25514115282,9425365516,9682494770,70,12757057641,4712682758,6194524671,46
43,114450,KOSDAQ,KPX생명과학,기초 의약물질 및 생물학적 제제 제조업,의약품 중간체 등,2009-12-22,12월,이기성,http://www.kpxls.com/,전라남도,2021-08-17,-1665763930,-3676252068,-1640349164,-108,-832881965,-1838126034,-1059489015,-70
44,60370,KOSDAQ,KT서브마린,전기 및 통신 공사업,해저케이블등의 건설 및 유지보수 업무,2002-02-15,12월,김형준,http://www.ktsubmarine.co.kr,부산광역시,2021-08-17,6287878742,1402672040,312930038,14,3143939371,701336020,1197007978,57
45,108320,KOSDAQ,LX세미콘,반도체 제조업,"LDI, T-Con, PMIC, EPD-IC 등",2010-06-08,12월,손보익,http://lxsemicon.com,대전광역시,2021-08-13,551908963942,309584981474,247429384690,15212,275954481971,154792490737,72528910564,4459
46,160550,KOSDAQ,NEW,"영화, 비디오물, 방송프로그램 제작 및 배급업",영화 투자 및 배급,2014-12-23,12월,김우택,http://www.its-new.co.kr,서울특별시,2021-08-17,27209480730,-8818191176,-4549182408,-170,13604740365,-4409095588,-9780602158,-366
47,53290,KOSDAQ,NE능률,"서적, 잡지 및 기타 인쇄물 출판업",영어학습교재,2002-12-10,12월,주민홍,http://www.neungyule.com,서울특별시,2021-08-17,45165132870,1972603382,1013179586,60,22582566435,986301691,971935501,59
48,104200,KOSDAQ,NHN벅스,소프트웨어 개발 및 공급업,"디지털음원유통, 온라인음악서비스",2009-10-06,12월,왕문주,http://www.bugs.co.kr,경기도,2021-08-13,64314651504,-208961132,-942485582,-64,15368325752,-60480566,-4474237723,-312
49,60250,KOSDAQ,NHN한국사이버결제,기타 정보 서비스업,전자결제서비스업,2002-01-08,12월,박준석,http://www.kcp.co.kr,서울특별시,2021-08-13,404483559892,40697168260,32888450724,1410,19719779946,9122584130,29888480188,1281
50,30190,KOSDAQ,NICE평가정보,기타 정보 서비스업,"개인 및 기업정보,솔루션",2000-05-16,12월,신희부,http://www.niceinfo.co.kr,서울특별시,2021-08-17,478844695462,80457427560,61201812794,1024,239422347731,40228713780,47176003670,789
51,78590,KOSDAQ,OQP,자동차 신품 부품 제조업,자동차내장카페트,2005-10-27,12월,이창현 단독대표이사,http://www.oqp.co.kr,경상남도,2021-08-09,8537525228,-6498949934,-183693374784,-2268,4268762614,-3249474967,-178938527534,-2446
52,24940,KOSDAQ,PN풍년,기타 금속 가공제품 제조업,압력솥,1995-01-04,12월,유재원,http://www.pn.co.kr,경기도,2021-08-17,15928187338,2983607478,2658795972,290,7964093669,1491803739,2311221997,252
53,218410,KOSDAQ,RFHIC,통신 및 방송 장비 제조업,GaN 트랜지스터,2015-06-30,12월,조덕수,http://rfhic.com,경기도,2021-07-26,75684595914,5682328666,-587653172,-74,7852297957,70164333,1571044009,200
54,327260,KOSDAQ,RF머트리얼즈,전자부품 제조업,"광통신, RF통신용 패키지",2019-12-24,12월,한기우,http://www.metal-life.co.kr,경기도,2021-08-17,7334391552,1022877570,200712830,152,3667195776,511438785,-232825713,-177
55,91340,KOSDAQ,S&K폴리텍,전자부품 제조업,고밀도폴리우레탄폼시트,2007-07-30,12월,강원형,http://www.snkpolytec.com,경기도,2021-08-17,43595301258,7840573228,9592900348,660,21797650629,3920286614,-8366946267,-576
