,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2021_9,Quarter_Operating_Profit2021_9,Quarter_Cashflow2021_9,Quarter_Earn2021_9,Quarter_Continue_Earn2021_9,Quarter_Percent_Operating_Profit2021_9,Quarter_Percent_Cashflow2021_9,Quarter_Percent_Earn2021_9,Quarter_Revenue2021_6,Quarter_Operating_Profit2021_6,Quarter_Cashflow2021_6,Quarter_Earn2021_6,Quarter_Continue_Earn2021_6,Quarter_Percent_Operating_Profit2021_6,Quarter_Percent_Cashflow2021_6,Quarter_Percent_Earn2021_6,Quarter_Full_EPS,Last_Revenue2020_9,Last_Operating_Profit2020_9,Last_Cashflow2020_9,Last_Earn2020_9,Last_Continue_Earn2020_9,Last_Percent_Operating_Profit2020_9,Last_Percent_Cashflow2020_9,Last_Percent_Earn2020_9,Last_Revenue2020_6,Last_Operating_Profit2020_6,Last_Cashflow2020_6,Last_Earn2020_6,Last_Continue_Earn2020_6,Last_Percent_Operating_Profit2020_6,Last_Percent_Cashflow2020_6,Last_Percent_Earn2020_6,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE
0,60310,KOSDAQ,3S,전자부품 제조업,반도체 웨이퍼 캐리어,2002-04-23,03월,"박종익, 김세완 (각자 대표이사)",http://www.3sref.com,서울특별시,2022-02-10,6642030087,965504290,4568417303,1053488093,0,14.54,68.78,15.86,7644208574,1338141374,-317040239,1295486013,0,17.51,-4.15,16.95,92,8764498346,137258073,-201219534,194700019,0,1.57,-2.3,2.22,6705135143,-453931676,-1612113294,-714274255,0,-6.77,-24.04,-10.65,16,22592015218,467181073,1188555065,-1080358319,-23,1709,729,3.32,-2.18,5.38,-3.24
1,54620,KOSDAQ,APS홀딩스,기타 금융업,인터넷 트래픽 솔루션,2001-12-04,12월,정기로,http://www.apsholdings.co.kr,경기도,2021-11-15,7692225508,-1067474235,567837330,5502979662,6062061576,-13.88,7.38,71.54,6496221559,-1519163744,1145673823,608012532,1014064006,-23.39,17.64,9.36,1076,5546334436,-3441501694,-3223438900,5422948168,5353155798,-62.05,-58.12,97.78,6056760679,-2875523835,-2514410925,-5269573136,-5497724133,-47.48,-41.51,-87.0,1060,25345952537,-10877059034,-8405977345,-46872920717,-2298,16849,8167,3.86,-17.03,6.39,-28.14
2,265520,KOSDAQ,AP시스템,특수 목적용 기계 제조업,디스플레이 제조 장비,2017-04-07,12월,김영주,http://www.apsystems.co.kr,경기도,2021-11-15,96038455303,16075283297,33189082140,17570000718,0,16.74,34.56,18.29,145798523625,16274752025,59119231113,11321929497,0,11.16,40.55,7.77,4596,163603340915,17070054688,49303639339,11427435667,0,10.43,30.14,6.98,128512636355,8813567840,6717033145,4662415398,0,6.86,5.23,3.63,2988,591795352612,46277808090,63603566505,24951026992,1632,22149,9041,8.48,6.72,20.75,18.06
3,211270,KOSDAQ,AP위성,통신 및 방송 장비 제조업,위성통신 단말기,2016-03-04,12월,류장수,http://www.apsi.co.kr,서울특별시,2022-03-18,4674243838,-763745105,-1038882384,702083258,0,-16.34,-22.23,15.02,5768794042,-724787064,482113838,-688780264,0,-12.56,8.36,-11.94,184,7536818534,102347181,11225775152,-47931179,0,1.36,148.95,-0.64,11036099824,224503240,3228478547,2495538,0,2.03,29.25,0.02,-12,45379281619,4376442736,15507478599,-1361421642,-90,10533,5292,1.23,-1.21,1.75,-1.7
4,32790,KOSDAQ,BNGT,기계장비 및 관련 물품 도매업,"Bio 이종장기 사업, ICT 프린터 현상기",1997-06-26,12월,조상환,http://www.mgenplus.com,서울특별시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,13720,KOSDAQ,CBI,자동차 신품 부품 제조업,엔진부품,1993-12-29,12월,오경원,http://www.cheongbo.co.kr,인천광역시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,35760,KOSDAQ,CJ ENM,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타",1999-11-23,12월,"Minho Hou, Ho Sung Kang",http://www.cjmall.com,서울특별시,2021-11-15,857538906969,87820812566,604125765883,66868898488,0,10.24,70.45,7.8,907916796942,85801986621,404037184052,31864975688,0,9.45,44.5,3.51,12196,798620132304,71049057636,305018733141,28622777060,0,8.9,38.19,3.58,837526668341,73380361203,195218051115,33917071890,0,8.76,23.31,4.05,5220,3391184002869,272067865192,566412764825,56926322621,2595,374575,172594,1.96,0.91,3.26,1.5
7,51500,KOSDAQ,CJ프레시웨이,음·식료품 및 담배 도매업,"식자재유통, 단체급식",2001-07-26,12월,정성필,http://www.cjfreshway.com,경기도,2022-03-18,562932512260,16382751881,111268807407,17356131929,0,2.91,19.77,3.08,575712241085,19057041580,113498764775,13166066275,0,3.31,19.71,2.29,5848,651314105433,11823076246,67629720292,-4228958778,0,1.82,10.38,-0.65,624467603472,2708192672,379615385,-2690851574,0,0.43,0.06,-0.43,-1424,2478528727709,-3545694413,126251239674,-42517696613,-3581,48711,24114,3.08,-3.79,12.01,-14.85
8,58820,KOSDAQ,CMG제약,의약품 제조업,의약품,2001-08-31,12월,이주형,http://www.cmgpharma.co.kr,서울특별시,2022-03-17,18510847798,1062257904,5571262147,1763119347,1763119347,5.74,30.1,9.52,17319005713,559601434,3471978374,-67279139,-67279139,3.23,20.05,-0.39,48,17108427333,653604910,7788887820,569408432,569408432,3.82,45.53,3.33,15945189411,450376676,2921595784,885005867,885005867,2.82,18.32,5.55,16,64459891270,1822364992,2944288629,214996493,1,2643,1304,1.69,0.11,1.82,0.12
9,56730,KOSDAQ,CNT85,기타 전문 도매업,산업설비 제조외,2002-01-04,12월,박종승,http://www.cnt85.com,경기도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
