,Unnamed: 0,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Revenue2021_12,Quarter_Operating_Profit2021_12,Quarter_Cashflow2021_12,Quarter_Earn2021_12,Quarter_Continue_Earn2021_12,Quarter_Percent_Operating_Profit2021_12,Quarter_Percent_Cashflow2021_12,Quarter_Percent_Earn2021_12,Quarter_Full_EPS,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Last_Revenue2020_12,Last_Operating_Profit2020_12,Last_Cashflow2020_12,Last_Earn2020_12,Last_Continue_Earn2020_12,Last_Percent_Operating_Profit2020_12,Last_Percent_Cashflow2020_12,Last_Percent_Earn2020_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE
0,0,60310,KOSDAQ,3S,전자부품 제조업,반도체 웨이퍼 캐리어,2002-04-23,03월,김세완,http://www.3sref.com,서울특별시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,54620,KOSDAQ,APS홀딩스,기타 금융업,인터넷 트래픽 솔루션,2001-12-04,12월,정기로,http://www.apsholdings.co.kr,경기도,2022-05-16,6027543144.0,-7270870142.0,-1219560730.0,-1987869528.0,0.0,-120.63,-20.23,-32.98,18331770930.0,582094795.0,-2136825340.0,14687076179.0,-8043847419.0,3.18,-11.66,80.12,-388.0,6744344510.0,-2109987261.0,1021318349.0,675010305.0,0.0,-31.29,15.14,10.01,8507283181.0,-2203513782.0,-5182538445.0,-41809759076.0,744227803.0,-25.9,-60.92,-491.46,132.0,39415521257.0,-3963571695.0,-1568988010.0,21682626181.0,1063.0,9569.0,9183.0,-2.05,6.43,-4.05,11.58
2,2,265520,KOSDAQ,AP시스템,특수 목적용 기계 제조업,디스플레이 제조 장비,2017-04-07,12월,김영주,http://www.apsystems.co.kr,경기도,2022-05-16,80190648248.0,11504078255.0,6845809905.0,12938544890.0,0.0,14.35,8.54,16.13,174184896967.0,19761111040.0,30060023892.0,14284196575.0,0.0,11.34,17.26,8.2,3384.0,112719094448.0,12194348715.0,2040412186.0,13990103356.0,0.0,10.82,1.81,12.41,178615515889.0,12457314211.0,14299927166.0,649884801.0,0.0,6.97,8.01,0.36,3660.0,528740970343.0,64305495077.0,63249106032.0,57166230146.0,3741.0,14071.0,12534.0,11.49,13.33,24.05,29.85
3,3,211270,KOSDAQ,AP위성,통신 및 방송 장비 제조업,위성통신 단말기,2016-03-04,12월,류장수,http://www.apsi.co.kr,서울특별시,2022-05-13,9477113267.0,317207337.0,6480701743.0,659058999.0,0.0,3.35,68.38,6.95,23862679141.0,3312523603.0,-466387599.0,1265847313.0,0.0,13.88,-1.95,5.3,172.0,5896003439.0,-981792965.0,2604569363.0,122590527.0,0.0,-16.65,44.18,2.08,19551936394.0,4038407679.0,4281703447.0,-2431294707.0,0.0,20.65,21.9,-12.44,32.0,40201720460.0,842198469.0,-1505269983.0,1401740834.0,92.0,5482.0,5380.0,2.45,1.26,3.14,1.73
4,4,32790,KOSDAQ,BNGT,기계장비 및 관련 물품 도매업,"Bio 이종장기 사업, ICT 프린터 현상기",1997-06-26,12월,조상환,http://www.mgenplus.com,서울특별시,2022-05-16,21940338664.0,-329474230.0,3309865330.0,-227916888.0,0.0,-1.5,15.09,-1.04,25539554921.0,491284181.0,145317469.0,2747192540.0,0.0,1.92,0.57,10.76,-28.0,12467896512.0,-406594036.0,515244417.0,-278971924.0,0.0,-3.26,4.13,-2.24,11022680379.0,1491764850.0,1583215046.0,-3288485133.0,0.0,13.53,14.36,-29.83,-36.0,72200888518.0,121670608.0,-1051870785.0,7845512334.0,265.0,1571.0,1508.0,-1.0,10.4,-1.78,17.62
5,5,13720,KOSDAQ,CBI,자동차 신품 부품 제조업,엔진부품,1993-12-29,12월,오경원,http://www.cheongbo.co.kr,인천광역시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,35760,KOSDAQ,CJ ENM,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타",1999-11-23,12월,"Minho Hou, Ho Sung Kang",http://www.cjmall.com,서울특별시,2022-05-16,957266802932.0,49626382225.0,259728687633.0,6741568050.0,0.0,5.18,27.13,0.7,995048320194.0,29636482077.0,178092855365.0,21155709516.0,227562448542.0,2.98,17.9,2.13,1228.0,791892518197.0,93616824114.0,178056021088.0,73560592046.0,0.0,11.82,22.48,9.29,944270288497.0,87912814095.0,261394031684.0,-32488778022.0,227562448542.0,9.31,27.68,-3.44,13416.0,3552396542302.0,296876105378.0,782218621248.0,193450175738.0,8820.0,192085.0,191659.0,0.27,2.44,0.64,4.6
7,7,311690,KOSDAQ,CJ 바이오사이언스,자연과학 및 공학 연구개발업,"생명정보 플랫폼, 마이크로바이옴 분석 서비스",2019-12-26,12월,천종식,http://www.cjbioscience.com,서울특별시,2022-05-16,677360329.0,-5555301743.0,-4395674391.0,-6159906318.0,0.0,-820.14,-648.94,-909.4,663873496.0,-2497759475.0,-2677180917.0,-6395457593.0,0.0,-376.24,-403.27,-963.35,-4188.0,1219777737.0,-2095996987.0,-2575815011.0,-3470596898.0,0.0,-171.83,-211.17,-284.53,1880816937.0,-1753972029.0,765742700.0,-2051619388.0,0.0,-93.26,40.71,-109.08,-2360.0,4363027299.0,-10108067067.0,-8437267934.0,-19272342235.0,-3278.0,24389.0,14944.0,-15.59,-16.56,-17.17,-21.94
8,8,51500,KOSDAQ,CJ프레시웨이,음·식료품 및 담배 도매업,"식자재유통, 단체급식",2001-07-26,12월,정성필,http://www.cjfreshway.com,경기도,2022-05-16,564288402372.0,10613146779.0,11349588649.0,5625571709.0,0.0,1.88,2.01,1.0,606720666425.0,17041414483.0,29341815815.0,5012437059.0,0.0,2.81,4.84,0.83,1892.0,546068559585.0,3148013050.0,38570556826.0,-4429156353.0,0.0,0.58,7.06,-0.81,600267391639.0,-5464016646.0,58621519382.0,-15574391264.0,0.0,-0.91,9.77,-2.59,-1492.0,2291433979355.0,55629220994.0,140610623222.0,31105478910.0,2620.0,32704.0,28863.0,1.68,2.56,5.79,9.08
9,9,58820,KOSDAQ,CMG제약,의약품 제조업,의약품,2001-08-31,12월,이주형,http://www.cmgpharma.co.kr,서울특별시,2022-05-13,19059875237.0,709865907.0,5327701409.0,189466517.0,189466517.0,3.72,27.95,0.99,17864389154.0,-87829632.0,57357786.0,177141206.0,177141206.0,-0.49,0.32,0.99,4.0,15781252914.0,126446654.0,754029112.0,1292503740.0,1292503740.0,0.8,4.78,8.19,16858568864.0,495912640.0,-4844599191.0,-2458798269.0,491690392.0,2.94,-28.74,-14.58,36.0,69475495579.0,1660476360.0,5628619933.0,3165485154.0,22.0,1333.0,1329.0,0.26,1.59,0.3,1.71
