,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Quarter_Revenue2020_12,Quarter_Operating_Profit2020_12,Quarter_Cashflow2020_12,Quarter_Earn2020_12,Quarter_Continue_Earn2020_12,Quarter_Percent_Operating_Profit2020_12,Quarter_Percent_Cashflow2020_12,Quarter_Percent_Earn2020_12,Quarter_Revenue2020_9,Quarter_Operating_Profit2020_9,Quarter_Cashflow2020_9,Quarter_Earn2020_9,Quarter_Continue_Earn2020_9,Quarter_Percent_Operating_Profit2020_9,Quarter_Percent_Cashflow2020_9,Quarter_Percent_Earn2020_9,Quarter_Full_EPS,Last_Revenue2019_12,Last_Operating_Profit2019_12,Last_Cashflow2019_12,Last_Earn2019_12,Last_Continue_Earn2019_12,Last_Percent_Operating_Profit2019_12,Last_Percent_Cashflow2019_12,Last_Percent_Earn2019_12,Last_Revenue2019_9,Last_Operating_Profit2019_9,Last_Cashflow2019_9,Last_Earn2019_9,Last_Continue_Earn2019_9,Last_Percent_Operating_Profit2019_9,Last_Percent_Cashflow2019_9,Last_Percent_Earn2019_9,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE
0,95570,KOSPI,AJ네트웍스,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",2015-08-21,12월,박대현,http://www.ajnet.co.kr,서울특별시,2021-03-22,88013772557,-10327297067,42204489753,564361254,0,-11.73,47.95,0.64,312796292008,12621783865,-24478532480,-8496640781,0,4.04,-7.83,-2.72,48,113693099247,-11853170735,-19084560978,-57574558678,0,-10.43,-16.79,-50.64,312192995428,9610006176,-18824872963,3353072429,0,3.08,-6.03,1.07,-4916,1202793723694,17844099386,-37909433941,45969636300,981,6151,7418,0.14,2.55,0.78,13.23
1,6840,KOSPI,AK홀딩스,기타 금융업,지주사업,1999-08-11,12월,"채형석, 이석주(각자 대표이사)",http://www.aekyunggroup.co.kr,서울특별시,2021-03-22,643708548233,-85728772736,548413581,-25604231921,0,-13.32,0.09,-3.98,644766854810,-31870706975,-192264886597,-52944613989,0,-4.94,-29.82,-8.21,-7728,899143099357,-3064542486,29925230287,-18201077559,0,-0.34,3.33,-2.02,972828925751,26936663972,244264567222,2865552179,0,2.77,25.11,0.29,-5492,3759542062510,131336891859,274189797509,57377832577,4330,93841,107911,-2.47,1.33,-8.24,4.01
2,27410,KOSPI,BGF,기타 금융업,지주회사,2014-05-19,12월,홍정국,http://www.bgf.co.kr,서울특별시,2021-03-17,30124252091,-1216921299,-888454194,1484429162,-8373254323,-4.04,-2.95,4.93,49219810735,11551175438,22238730428,17388927046,14253832085,23.47,45.18,35.33,60,28919173208,6814543398,2153089481,-333186754,-11705756444,23.56,7.45,-1.15,39224472990,8990968010,11681487128,10758039191,8642172248,22.92,29.78,27.43,-12,240314527185,29385396571,13834576609,26870739807,280,16057,15965,0.35,1.62,0.37,1.76
3,138930,KOSPI,BNK금융지주,기타 금융업,금융지주회사,2011-03-30,12월,김지완,http://www.bnkfg.com,부산광역시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1460,KOSPI,BYC,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",1975-06-02,12월,김 대 환,http://home.byc.co.kr,서울특별시,2021-03-18,44613422439,6357761037,16474182564,7305281470,0,14.25,36.93,16.37,36828020489,5843421672,18934528555,2311971506,0,15.87,51.41,6.28,135748,49143134276,5937921492,17000589161,6784504902,0,12.08,34.59,13.81,41810931214,6148035037,1715409596,12319441751,0,14.7,4.1,29.46,126072,170589026967,23393686890,18715998757,27772828234,129023,2102948,2017743,4.3,4.0,6.46,6.39
5,1040,KOSPI,CJ,기타 금융업,지주회사,1973-06-29,12월,"손경식, 김홍기",http://www.cj.net,서울특별시,2021-03-23,8140707819000,338227690000,1166981449000,-156412523000,0,4.15,14.34,-1.92,8224388965000,429097362000,1865833331000,63221767000,0,5.22,22.69,0.77,-21444,8851316888000,373859024000,1684339040000,-28351847000,0,4.22,19.03,-0.32,8679743824000,426811596000,2180237542000,32037955000,0,4.92,25.12,0.37,-3884,33779706665000,1509154524000,3864576582000,267148987000,9156,527714,500940,-1.56,0.66,-4.06,1.83
6,79160,KOSPI,CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",2004-12-24,12월,허민회,http://www.cgv.co.kr,서울특별시,2021-03-19,143347123656,-89691693095,-59769645954,-296374924742,0,-62.57,-41.7,-206.75,155194591978,-96814578843,-208674223667,-100353441817,0,-62.38,-134.46,-64.66,-31312,498263384223,44026756228,59970141326,-138706321077,0,8.84,12.04,-27.84,497468732000,30973329453,223369315233,1810522256,0,6.23,44.9,0.36,-14652,1942279329129,121975391246,283339456559,-152642285534,-4031,7603,15877,-27.22,-3.37,-411.79,-25.39
7,120,KOSPI,CJ대한통운,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",1956-07-02,12월,강신호,http://www.cjlogistics.com,서울특별시,2021-03-19,2841266796236,90751893475,105648513134,31637224116,0,3.19,3.72,1.11,2774501972656,92537225846,466699130757,42193852536,0,3.34,16.82,1.52,5544,2825733269483,101329360467,569510382106,35144788735,0,3.59,20.15,1.24,2621805581814,88721737976,280764296924,6044338820,0,3.38,10.71,0.23,6160,10415108625820,307186346174,849229005556,39726701152,1741,177079,160216,1.31,0.44,3.13,1.09
8,11150,KOSPI,CJ씨푸드,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",1988-11-26,12월,"이인덕, 오재석(각자대표)",http://www.cjseafood.net,경기도,2021-03-19,39047272367,400503377,-12104833003,-184763543,0,1.03,-31.0,-0.47,38557444557,1271638777,15553909912,760040102,0,3.3,40.34,1.97,-20,39224916643,2287682588,-4077503091,1276630198,0,5.83,-10.4,3.25,37657284492,583027210,11360243994,328795502,0,1.55,30.17,0.87,140,149168950259,3700345257,7282740903,1827957679,50,1822,1781,-0.53,1.44,-1.1,2.84
9,97950,KOSPI,CJ제일제당,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28,12월,"손경식, 최은석 (각자 대표이사)",http://www.cj.co.kr,서울특별시,2021-03-18,6151437566000,296616905000,560752498000,-12694356000,0,4.82,9.12,-0.21,6342466685000,402139040000,1440999675000,189178038000,0,6.34,22.72,2.98,-3096,5961287482000,269797027000,1195096342000,93516125000,0,4.53,20.05,1.57,5858111236000,272697683000,947999339000,17079077000,0,4.66,16.18,0.29,22832,22352462296000,896857873000,2143095681000,191028303000,11661,620601,578788,-0.2,0.73,-0.5,2.01
10,590,KOSPI,CS홀딩스,기타 금융업,"브랜드 수익, 자회사 배당",1975-12-22,12월,임규섭,http://www.chosunwelding.com,경상북도,2021-03-18,32488441206,3335928769,2869147297,-299931916,-809165792,10.27,8.83,-0.92,30142513165,3050174171,11937440063,1064479861,1878111001,10.12,39.6,3.53,-1036,35743729428,4632059393,3346448225,2102252161,-2142489386,12.96,9.36,5.88,32950555286,4415077281,15936432401,3420624604,5372680820,13.4,48.36,10.38,7284,134971514129,17025221715,19282880626,9677429458,8383,256028,247878,-0.37,3.08,-0.4,3.38
11,12030,KOSPI,DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리",1993-01-06,12월,"문덕식,강운식 (각자 대표이사)",http://www.dbinc.co.kr,서울특별시,2021-03-22,74586105066,6355567611,5745884258,-8005223537,-8005223537,8.52,7.7,-10.73,63192449027,4166060614,12448303052,2205998939,2205998939,6.59,19.7,3.49,-156,68058551113,3378262429,13494279296,-5170041477,-3357213998,4.96,19.83,-7.6,58191897589,4516244715,17510935358,3076760335,3093371728,7.76,30.09,5.29,-100,238505592826,18493009586,31005214654,4404485641,21,1559,1048,-6.64,1.21,-10.0,2.09
12,16610,KOSPI,DB금융투자,금융 지원 서비스업,"유가증권,위탁매매,인수,자기매매",1988-06-27,12월,고원종,http://db-fi.com,서울특별시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5830,KOSPI,DB손해보험,보험업,"자동차보험,화재보험,해상보험,특종보험,장기보험",1973-06-28,12월,김정남,http://www.idbins.com,서울특별시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,990,KOSPI,DB하이텍,반도체 제조업,반도체 제조,1975-12-12,12월,최창식,http://www.dbhitek.co.kr,경기도,2021-03-19,227818846946,30403226651,95699925876,13565936085,13565936085,13.35,42.01,5.95,240646806647,67126286680,214282703898,47042231413,47042231413,27.89,89.04,19.55,1220,212031662106,47842004372,60447812245,12503487246,73892065984,22.56,28.51,5.9,222319992294,61778363023,100630538919,44638672356,44638672356,27.79,45.26,20.08,1124,807416422918,181292187959,161078351164,104637012339,2356,17892,14516,4.6,9.61,6.82,16.23
