,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Revenue2021_12,Quarter_Operating_Profit2021_12,Quarter_Cashflow2021_12,Quarter_Earn2021_12,Quarter_Continue_Earn2021_12,Quarter_Percent_Operating_Profit2021_12,Quarter_Percent_Cashflow2021_12,Quarter_Percent_Earn2021_12,Quarter_Full_EPS,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Last_Revenue2020_12,Last_Operating_Profit2020_12,Last_Cashflow2020_12,Last_Earn2020_12,Last_Continue_Earn2020_12,Last_Percent_Operating_Profit2020_12,Last_Percent_Cashflow2020_12,Last_Percent_Earn2020_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE
0,95570,KOSPI,AJ네트웍스,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)",2015-08-21,12월,박대현,http://www.ajnet.co.kr,서울특별시,2022-08-12,46821382,295803640038,19242745659,2986064682,10854923388,0,6.51,1.01,3.67,231171942223,15256320579,-5686381096,441362225,0,6.6,-2.46,0.19,924,240931609871,3854976431,-4407379720,4779675291,0,1.6,-1.83,1.98,177672260254,-2483940918,42204489753,-781129047,0,-1.4,23.75,-0.44,408,1026749457003,45109542821,-11318072318,76737133075,1638,7709,7742,3.17,5.66,11.99,21.17
1,6840,KOSPI,AK홀딩스,기타 금융업,지주사업,1999-08-11,12월,"채형석, 이석주(각자 대표이사)",http://www.aekyunggroup.co.kr,서울특별시,2022-08-16,13247873,819839856194,-46391573226,-94900791669,-48038859624,0,-5.66,-11.58,-5.86,813056493209,-44163235011,11322020902,-51881064486,0,-5.43,1.39,-6.38,-14504,682857038600,-39499619893,-17108375739,-48566833017,0,-5.78,-2.51,-7.11,643708548233,-85728772736,548413581,-24139905133,0,-13.32,0.09,-3.75,-14664,3167699652090,-165714944091,-9766237791,-199326056742,-15045,95049,90758,-4.07,-4.38,-15.26,-16.58
2,27410,KOSPI,BGF,기타 금융업,지주회사,2014-05-19,12월,홍정국,http://www.bgf.co.kr,서울특별시,2022-08-16,95714252,120062793464,1268970791,-9759188040,-6588018125,-7271993329,1.06,-8.13,-5.49,58086221789,1317315492,322496543,20950431992,1832573980,2.27,0.56,36.07,-272,38583769810,-3139478131,-5286372493,24830428142,-3004536270,-8.14,-13.7,64.35,39971706979,1705991712,-888454194,1484429162,-5577977320,4.27,-2.22,3.71,1036,206770625284,11499330314,1524674595,65537951441,684,19723,18103,-1.17,3.31,-1.38,3.78
3,282330,KOSPI,BGF리테일,종합 소매업,체인화 편의점,2017-12-08,12월,이건준,http://www.bgfretail.com,서울특별시,2022-08-16,17282608,1692224040773,37755069529,113369985099,25988985646,0,2.23,6.7,1.54,1742951326656,49669908433,116327471645,35667473798,0,2.85,6.67,2.05,6012,1501235771674,21631358848,76751157726,15871350141,0,1.44,5.11,1.06,1556280875033,35553518237,120837905557,26163559364,0,2.28,7.76,1.68,3672,6781161259022,199441703668,538147659919,147642852239,8542,47731,46828,3.87,5.69,12.6,18.24
4,138930,KOSPI,BNK금융지주,기타 금융업,금융지주회사,2011-03-30,12월,김지완,http://www.bnkfg.com,부산광역시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1460,KOSPI,BYC,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",1975-06-02,12월,김 대 환,http://home.byc.co.kr,서울특별시,2022-08-16,624596,35803053704,6822316333,1042829001,4878047056,0,19.06,2.91,13.62,49507767823,9976010595,18468425497,12620010995,0,20.15,37.3,25.49,31236,35291531602,5661185295,7015149253,6846960252,0,16.04,19.88,19.4,44613422439,6357761037,16474182564,7305281470,0,14.25,36.93,16.37,43848,164445893789,26711346464,35707429153,29858867785,47805,797373,771398,2.77,4.36,3.92,6.2
6,1040,KOSPI,CJ,기타 금융업,지주회사,1973-06-29,12월,"손경식, 김홍기",http://www.cj.net,서울특별시,2022-08-16,29184633,9117963877000,497813404000,-152147130000,82575588000,0,5.46,-1.67,0.91,9283450155000,369278183000,1440931214000,77408896000,0,3.98,15.52,0.83,11316,8011706833000,447494209000,564389158000,52226070000,0,5.59,7.04,0.65,8140707819000,338227690000,1166981449000,-156412523000,0,4.15,14.34,-1.92,7156,34484026554000,1881800099000,3353190728000,274974387000,9421,577845,564116,0.73,0.66,1.96,1.67
7,79160,KOSPI,CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",2004-12-24,12월,허민회,http://www.cgv.co.kr,서울특별시,2022-08-16,40867059,223264235642,-54943806015,-19144561431,-99377360313,0,-24.61,-8.57,-44.51,240086610800,-43861058987,-2555239149,671046514,0,-18.27,-1.06,0.28,-9724,172482070347,-62841910134,-26274708971,-91830228083,0,-36.43,-15.23,-53.24,143347123656,-89691693095,-59769645954,-296374924742,0,-62.57,-41.7,-206.75,-8988,736315366659,-241445734017,-171876627587,-280206951487,-6856,5322,7372,-10.78,-7.4,-182.71,-93.0
8,120,KOSPI,CJ대한통운,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting",1956-07-02,12월,"강신호,민영학(각자대표)",http://www.cjlogistics.com,서울특별시,2022-08-16,22815339,2856952867961,75661609962,-104637311843,27024718929,0,2.65,-3.66,0.95,3057324943498,99833363582,113490699738,56938435640,0,3.27,3.71,1.86,4736,2692602872714,48119805699,2736643192,12800537143,0,1.79,0.1,0.48,2841266796236,90751893475,105648513134,31637224116,0,3.19,3.72,1.11,2244,11343651787492,343880765667,344143274398,54742329035,2399,179018,176037,1.2,0.61,2.65,1.36
9,11150,KOSPI,CJ씨푸드,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",1988-11-26,12월,"이인덕, 오재석(각자대표)",http://www.cjseafood.net,경기도,2022-08-16,36130566,39138080407,1481843663,-8201878266,1934304571,0,3.79,-20.96,4.94,43912888948,391790781,-6809470485,-2402426168,0,0.89,-15.51,-5.47,212,40993228768,2516551899,2061081974,2607876109,0,6.14,5.03,6.36,39047272367,400503377,-2845209435,-184763543,0,1.03,-7.29,-0.47,288,162142951631,4499170288,10911064508,2204338963,61,1832,1857,5.23,1.65,11.57,3.28
10,97950,KOSPI,CJ제일제당,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",2007-09-28,12월,"손경식, 최은석 (각자 대표이사)",http://www.cj.co.kr,서울특별시,2022-08-16,16381602,6979894271000,435659992000,-537010905000,247869311000,0,6.24,-7.69,3.55,6947815162000,236626243000,777040960000,200947298000,0,3.41,11.18,2.89,60520,6178109147000,385075351000,180293576000,218761979000,0,6.23,2.92,3.54,6151437566000,296616905000,560752498000,-12694356000,0,4.82,9.12,-0.21,53416,26289227767000,1524429392000,1686409257000,892393213000,54475,694196,659691,3.49,3.32,8.72,8.26
11,590,KOSPI,CS홀딩스,기타 금융업,"브랜드 수익, 자회사 배당",1975-12-22,12월,장원영,http://www.chosunwelding.com,경상북도,2022-08-16,1154409,44342151518,3631007372,-3545415276,2915040921,4070259579,8.19,-8.0,6.57,42834957756,4164217943,-2866967903,1942932947,2369162188,9.72,-6.69,4.54,10100,37968720563,3828122951,5463948739,3136607132,5077336991,10.08,14.39,8.26,32488441206,3335928769,7541372702,-973595042,8421255634,10.27,23.21,-3.0,10868,159017955309,19647701659,8113504608,14664297206,12702,270723,270437,3.24,4.15,3.73,4.7
12,12030,KOSPI,DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리",1993-01-06,12월,"문덕식,강운식 (각자 대표이사)",http://www.dbinc.co.kr,서울특별시,2022-08-16,201196829,92672775117,10123697349,-10932002860,9707292844,0,10.92,-11.8,10.47,88609649776,2767318597,7896112601,2453271528,2453271528,3.12,8.91,2.77,192,67876747779,10252002926,-2483885500,9802206072,0,15.1,-3.66,14.44,74586105066,6355567611,5745884258,-8005223537,7430519358,8.52,7.7,-10.73,192,326914604920,23472667404,18587524770,21705064303,107,2710,2175,5.27,3.61,7.08,4.96
13,16610,KOSPI,DB금융투자,금융 지원 서비스업,"유가증권,위탁매매,인수,자기매매",1988-06-27,12월,고원종,http://db-fi.com,서울특별시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,5830,KOSPI,DB손해보험,보험업,"자동차보험,화재보험,해상보험,특종보험,장기보험",1973-06-28,12월,김정남,http://www.idbins.com,서울특별시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,990,KOSPI,DB하이텍,반도체 제조업,반도체 제조,1975-12-12,12월,최창식,http://www.dbhitek.co.kr,경기도,2022-08-12,44408178,395024842725,181544900393,93254113025,158684674713,158684674713,45.96,23.61,40.17,367855453111,138146823747,169150979699,117372295503,117372295503,37.55,45.98,31.91,14292,243736208590,60590744587,50998531347,47810548964,47810548964,24.86,20.92,19.62,227818846946,30403226651,95699925876,13565936085,164432197016,13.35,42.01,5.95,4304,1214682040178,399106778303,393129114790,316891852008,7135,30865,24906,33.88,20.45,46.3,28.65
16,139130,KOSPI,DGB금융지주,기타 금융업,지주회사,2011-06-07,12월,김태오,http://www.dgbfg.co.kr,대구광역시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1530,KOSPI,DI동일,상품 중개업,"면사,화섬사,면포,혼방포,스포츠웨어용 신합섬 제조,도매,수출",1964-01-04,12월,"서태원, 손재선",http://www.dong-il.com,서울특별시,2022-08-16,25572618,241007941980,17668630864,-7719725518,14276289553,0,7.33,-3.2,5.92,232445489916,12850631663,12913754234,10399212773,0,5.53,5.56,4.47,2232,194162877751,11993624963,7982942966,9320630481,0,6.18,4.11,4.8,172932543838,6075935013,20074387567,4013646069,0,3.51,11.61,2.32,1456,813085258056,48592979653,24848897859,42006521551,1642,23872,22426,5.35,4.23,9.35,7.32
18,210,KOSPI,DL,기타 금융업,지주회사,1976-02-02,12월,전병욱,http://www.dlholdings.co.kr,서울특별시,2022-08-16,20954399,883116562114,32261385587,-76222032754,98301635489,0,3.65,-8.63,11.13,671706495384,33945792791,55148276429,6247890894,0,5.05,8.21,0.93,18764,509907602348,65951240377,147878816007,318127919935,0,12.93,29.0,62.39,430639761275,15611497216,784193773529,-76788178486,0,3.63,182.1,-17.83,60724,2385420753496,221893397682,300778140679,865414321922,41299,227769,216194,3.21,10.4,8.24,19.1
19,1880,KOSPI,DL건설,건물 건설업,"도로건설공사,토목공사,건축공사,조경공사/부동산 임대,매매",1977-12-22,12월,조남창,http://www.dlconstruction.co.kr,인천광역시,2022-08-16,22053586,333264733985,3919721158,-79203037666,5672691546,0,1.18,-23.77,1.7,634216632515,59634309932,137560610279,47022706163,0,9.4,21.69,7.41,1028,417488989253,62992151049,34705649753,54216344885,0,15.09,8.31,12.99,508994303368,34150384707,80751901978,15753560534,0,6.71,15.86,3.1,9832,2010344322791,229634333122,80350190260,175561248492,7960,44941,43434,1.31,10.52,2.29,18.33
20,4840,KOSPI,DRB동일,고무제품 제조업,"고무벨트(V벨트,콘베이어벨트,평벨트),프라스틱제품 제조,판매",1976-05-21,12월,류영식,http://drbworld.com,부산광역시,2022-08-12,19928865,136405730116,-3422789696,-19468379996,-833859485,0,-2.51,-14.27,-0.61,141201454540,-688249259,-702286535,2584394310,-2796740448,-0.49,-0.5,1.83,-164,120651125489,2075524631,-14258277780,1393689150,0,1.72,-11.82,1.16,138527171651,8959319698,247460155,-2159886087,-2796740448,6.47,0.18,-1.56,276,551337199988,577562481,-48338767545,-4054340227,-203,23980,23862,-0.37,-0.49,-0.68,-0.85
